Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0321,,,,,,"[1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.001]",0x11110000,0.0450,4,0,0.100000,-0.100000,-0.100000,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,999.89,999.89,1000.00,0.09,-0.09,89.91,0.99989,0.99989,1.00000,0.00149,-0.00149,1.56931,-0.00433,-0.00436,-0.00000,0.05945,-0.05945,-0.05944,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99989,0.99989,1.00000,-0.00149,0.00149,-1.56931,0.00433,0.00436,0.00000,-0.05945,0.05945,0.05944,0.0000,,,,0.0199,,,,,,"[1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000]",0x11110000,0.0950,4,0,0.100000,-0.100000,-0.099848,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,999.57,999.56,1000.00,0.34,-0.34,89.66,0.99957,0.99956,1.00000,0.00596,-0.00593,1.56484,-0.00867,-0.00871,-0.00000,0.11891,-0.11891,-0.11878,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99957,0.99956,1.00000,-0.00596,0.00593,-1.56484,0.00867,0.00871,0.00000,-0.11891,0.11891,0.11878,0.0000,,,,0.0159,,,,,,"[1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000]",0x11110000,0.1450,4,0,-0.047691,0.037371,-0.099841,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,999.02,999.02,1000.00,0.65,-0.64,89.23,0.99902,0.99902,1.00000,0.01127,-0.01125,1.55737,-0.01304,-0.01303,-0.00000,0.09053,-0.09671,-0.17812,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99902,0.99902,1.00000,-0.01127,0.01125,-1.55737,0.01304,0.01303,0.00000,-0.09053,0.09671,0.17812,0.0000,,,,0.0119,,,,,,"[1.000, 0.999, 1.000, 0.999, 0.001, 0.000, 0.001, 0.000]",0x11110000,0.1950,4,0,0.023576,-0.025453,-0.099815,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,998.26,998.26,1000.00,0.93,-0.94,88.63,0.99826,0.99826,1.00000,0.01629,-0.01632,1.54691,-0.01745,-0.01731,-0.00000,0.10454,-0.11185,-0.23745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99826,0.99826,1.00000,-0.01629,0.01632,-1.54691,0.01745,0.01731,0.00000,-0.10454,0.11185,0.23745,0.0000,,,,0.0096,,,,,,"[1.000, 0.999, 1.000, 0.999, 0.001, 0.000, 0.001, 0.000]",0x11110000,0.2450,4,0,-0.024913,0.017737,-0.099864,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,997.28,997.29,1000.00,1.23,-1.23,87.86,0.99728,0.99729,1.00000,0.02140,-0.02140,1.53345,-0.02190,-0.02154,-0.00000,0.08970,-0.10133,-0.29680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99728,0.99729,1.00000,-0.02140,0.02140,-1.53345,0.02190,0.02154,0.00000,-0.08970,0.10133,0.29680,0.0000,,,,0.0077,,,,,,"[1.000, 0.999, 0.999, 0.999, 0.001, 0.000, 0.001, 0.001]",0x11110000,0.2950,4,0,0.008328,-0.011778,-0.099955,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,996.07,996.11,1000.00,1.51,-1.50,86.92,0.99607,0.99611,1.00000,0.02640,-0.02625,1.51700,-0.02642,-0.02570,-0.00000,0.09464,-0.10834,-0.35621,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99607,0.99611,1.00000,-0.02640,0.02625,-1.51700,0.02642,0.02570,0.00000,-0.09464,0.10834,0.35621,0.0000,,,,0.0065,,,,,,"[0.999, 0.999, 0.999, 0.999, 0.001, 0.001, 0.001, 0.001]",0x11110000,0.3450,4,0,-0.014224,0.008518,-0.099991,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,994.64,994.72,1000.00,1.80,-1.77,85.80,0.99464,0.99472,1.00000,0.03148,-0.03098,1.49755,-0.03101,-0.02979,-0.00000,0.08617,-0.10330,-0.41564,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99464,0.99472,1.00000,-0.03148,0.03098,-1.49755,0.03101,0.02979,0.00000,-0.08617,0.10330,0.41564,0.0000,,,,0.0065,,,,,,"[0.999, 0.999, 0.999, 0.999, 0.001, 0.001, 0.001, 0.001]",0x11110000,0.3950,4,0,0.001326,-0.005324,-0.100000,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,992.97,993.13,1000.00,2.09,-2.03,84.52,0.99297,0.99313,1.00000,0.03655,-0.03546,1.47511,-0.03568,-0.03378,0.00000,0.08694,-0.10648,-0.47507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99297,0.99313,1.00000,-0.03655,0.03546,-1.47511,0.03568,0.03378,-0.00000,-0.08694,0.10648,0.47507,0.0000,,,,0.0077,,,,,,"[1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000]",0x11110000,0.4450,4,0,-0.007547,0.000900,-0.099998,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,991.07,991.35,1000.00,2.39,-2.28,83.06,0.99107,0.99135,1.00000,0.04175,-0.03978,1.44966,-0.04045,-0.03766,0.00001,0.08244,-0.10596,-0.53450,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99107,0.99135,1.00000,-0.04175,0.03978,-1.44966,0.04045,0.03766,-0.00001,-0.08244,0.10596,0.53450,0.0000,,,,0.0021,,,,,,"[1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000]",0x11110000,0.4950,4,0,-0.004763,0.000586,-0.036736,0.0000,NO
10,0.5450,0.5450,0.0500,0.050,APPROACHING,0,988.92,989.37,1000.00,2.69,-2.51,81.48,0.98892,0.98937,1.00000,0.04695,-0.04385,1.42216,-0.04532,-0.04141,0.00001,0.07960,-0.10562,-0.55633,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98892,0.98937,1.00000,-0.04695,0.04385,-1.42216,0.04532,0.04141,-0.00001,-0.07960,0.10562,0.55633,0.0000,,,,0.0021,,,,,,"[1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000]",0x11110000,0.5450,4,0,-0.003988,0.000569,0.008459,0.0000,NO
11,0.5950,0.5950,0.0500,0.050,APPROACHING,0,986.53,987.21,1000.00,2.99,-2.74,79.88,0.98653,0.98721,1.00000,0.05215,-0.04775,1.39421,-0.05028,-0.04502,0.00003,0.07723,-0.10529,-0.55128,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98653,0.98721,1.00000,-0.05215,0.04775,-1.39421,0.05028,0.04502,-0.00003,-0.07723,0.10529,0.55128,0.0000,,,,0.0021,,,,,,"[1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000]",0x11110000,0.5950,4,0,-0.004199,0.000644,0.021751,0.0000,NO
12,0.6450,0.6450,0.0500,0.050,APPROACHING,0,983.89,984.87,1000.00,3.28,-2.95,78.31,0.98389,0.98487,1.00000,0.05731,-0.05150,1.36669,-0.05535,-0.04850,0.00005,0.07474,-0.10490,-0.53833,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98389,0.98487,1.00000,-0.05731,0.05150,-1.36669,0.05535,0.04850,-0.00005,-0.07474,0.10490,0.53833,0.0000,,,,0.0053,,,,,,"[1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000]",0x11110000,0.6450,4,0,-0.004801,0.001140,0.019725,0.0000,NO
