Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,"[1, 2, 3, 4]",0.0321,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73193,89.91,"[1, 2, 3, 4]",0.0199,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73155,89.66,"[1, 2, 3, 4]",0.0160,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73092,89.24,"[1, 2, 3, 4]",0.0119,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73004,88.65,"[1, 2, 3, 4]",0.0097,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.72892,87.89,"[1, 2, 3, 4]",0.0077,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.72754,86.96,"[1, 2, 3, 4]",0.0065,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.72591,85.86,"[1, 2, 3, 4]",0.0065,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72404,84.60,"[1, 2, 3, 4]",0.0077,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72191,83.16,"[1, 2, 3, 4]",0.0022,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.71954,81.61,"[1, 2, 3, 4]",0.0022,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.71692,80.04,"[1, 2, 3, 4]",0.0021,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.71406,78.49,"[1, 2, 3, 4]",0.0053,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.71096,76.99,"[1, 2, 3, 4]",0.0021,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.70762,75.51,"[1, 2, 3, 4]",0.0021,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.70405,74.06,"[1, 2, 3, 4]",0.0021,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.70024,72.63,"[1, 2, 3, 4]",0.0042,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.69620,71.23,"[1, 2, 3, 4]",0.0022,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.69193,69.85,"[1, 2, 3, 4]",0.0021,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.68744,68.50,"[1, 2, 3, 4]",0.0043,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.68273,67.18,"[1, 2, 3, 4]",0.0022,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.67780,65.88,"[1, 2, 3, 4]",0.0065,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.67266,64.61,"[1, 2, 3, 4]",0.0042,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.66730,63.36,"[1, 2, 3, 4]",0.0021,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.66175,62.14,"[1, 2, 3, 4]",0.0032,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.65600,60.94,"[1, 2, 3, 4]",0.0044,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.65005,59.77,"[1, 2, 3, 4]",0.0054,1.3500
1.3950,Traveling to Target (t = 1.4s),,1.64391,58.62,"[1, 2, 3, 4]",0.0021,1.4000
1.4450,Traveling to Target (t = 1.4s),,1.63758,57.50,"[1, 2, 3, 4]",0.0021,1.4500
1.4950,Traveling to Target (t = 1.5s),,1.63108,56.40,"[1, 2, 3, 4]",0.0022,1.5000
1.5450,Traveling to Target (t = 1.5s),,1.62440,55.33,"[1, 2, 3, 4]",0.0033,1.5500
1.5950,Traveling to Target (t = 1.6s),,1.61755,54.28,"[1, 2, 7, 8]",0.0054,1.6000
1.6450,Traveling to Target (t = 1.6s),,1.61054,53.25,"[1, 2, 7, 8]",0.0021,1.6500
1.6950,Traveling to Target (t = 1.7s),,1.60337,52.24,"[1, 2, 7, 8]",0.0021,1.7000
1.7450,Traveling to Target (t = 1.7s),,1.59604,51.26,"[1, 2, 7, 8]",0.0022,1.7500
1.7950,Traveling to Target (t = 1.8s),,1.58854,50.30,"[1, 2, 7, 8]",0.0033,1.8000
1.8450,Traveling to Target (t = 1.8s),,1.58087,49.37,"[1, 2, 7, 8]",0.0022,1.8500
1.8950,Traveling to Target (t = 1.9s),,1.57303,48.45,"[1, 2, 7, 8]",0.0043,1.9000
1.9450,Traveling to Target (t = 1.9s),,1.56501,47.56,"[1, 2, 7, 8]",0.0043,1.9500
1.9950,Traveling to Target (t = 2.0s),,1.55680,46.68,"[1, 2, 7, 8]",0.0021,2.0000
2.0450,Traveling to Target (t = 2.0s),,1.54842,45.83,"[1, 2, 7, 8]",0.0044,2.0500
2.0950,Traveling to Target (t = 2.1s),,1.53984,45.00,"[1, 2, 7, 8]",0.0033,2.1000
2.1450,Traveling to Target (t = 2.1s),,1.53108,44.19,"[1, 2, 7, 8]",0.0032,2.1500
2.1950,Traveling to Target (t = 2.2s),,1.52214,43.40,"[1, 2, 7, 8]",0.0032,2.2000
2.2450,Traveling to Target (t = 2.2s),,1.51300,42.63,"[1, 2, 7, 8]",0.0054,2.2500
2.2950,Traveling to Target (t = 2.3s),,1.50367,41.87,"[1, 2, 7, 8]",0.0044,2.3000
2.3450,Traveling to Target (t = 2.3s),,1.49415,41.14,"[1, 2, 7, 8]",0.0021,2.3500
2.3950,Traveling to Target (t = 2.4s),,1.48444,40.42,"[1, 2, 7, 8]",0.0033,2.4000
2.4450,Traveling to Target (t = 2.4s),,1.47454,39.73,"[1, 2, 7, 8]",0.0022,2.4500
2.4950,Traveling to Target (t = 2.5s),,1.46444,39.05,"[1, 2, 7, 8]",0.0043,2.5000
2.5450,Traveling to Target (t = 2.5s),,1.45416,38.38,"[1, 2, 7, 8]",0.0022,2.5500
2.5950,Traveling to Target (t = 2.6s),,1.44368,37.74,"[1, 2, 7, 8]",0.0032,2.6000
2.6450,Traveling to Target (t = 2.6s),,1.43302,37.11,"[1, 2, 7, 8]",0.0032,2.6500
2.6950,Traveling to Target (t = 2.7s),,1.42218,36.50,"[1, 2, 7, 8]",0.0021,2.7000
2.7450,Traveling to Target (t = 2.7s),,1.41114,35.90,"[1, 2, 7, 8]",0.0033,2.7500
2.7950,Traveling to Target (t = 2.8s),,1.39993,35.33,"[1, 2, 7, 8]",0.0044,2.8000
2.8450,Traveling to Target (t = 2.8s),,1.38854,34.76,"[1, 2, 7, 8]",0.0043,2.8500
2.8950,Traveling to Target (t = 2.9s),,1.37697,34.21,"[1, 2, 7, 8]",0.0032,2.9000
2.9450,Traveling to Target (t = 2.9s),,1.36523,33.68,"[1, 2, 7, 8]",0.0055,2.9500
2.9950,Traveling to Target (t = 3.0s),,1.35332,33.16,"[1, 2, 7, 8]",0.0045,3.0000
3.0450,Traveling to Target (t = 3.0s),,1.34125,32.65,"[1, 2, 7, 8]",0.0021,3.0500
3.0950,Traveling to Target (t = 3.1s),,1.32902,32.16,"[1, 2, 7, 8]",0.0032,3.1000
3.1450,Traveling to Target (t = 3.1s),,1.31664,31.68,"[1, 2, 7, 8]",0.0032,3.1500
3.1950,Traveling to Target (t = 3.2s),,1.30411,31.22,"[1, 2, 7, 8]",0.0021,3.2000
3.2450,Traveling to Target (t = 3.2s),,1.29143,30.77,"[1, 2, 7, 8]",0.0032,3.2500
