Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0120,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.0450,3,0,-0.324920,0.324920,1.840389,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,999.94,999.94,999.94,-0.27,0.28,91.57,0.99994,0.99994,0.99994,-0.00476,0.00489,1.59814,-0.00248,-0.00252,-0.00250,-0.19317,0.19317,1.09417,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99994,0.99994,0.99994,0.00476,-0.00489,-1.59814,0.00248,0.00252,0.00250,0.19317,-0.19317,-1.09417,0.0000,,,,0.0404,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.0950,0,3,0.000000,0.000000,0.000000,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,999.81,999.81,999.81,-0.80,0.86,94.70,0.99981,0.99981,0.99981,-0.01388,0.01507,1.65276,-0.00248,-0.00252,-0.00250,-0.19317,0.19317,1.09417,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99981,0.99981,0.99981,0.01388,-0.01507,-1.65276,0.00248,0.00252,0.00250,0.19317,-0.19317,-1.09417,0.0000,,,,0.0120,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.1450,3,3,-0.944516,0.917277,2.000000,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,999.64,999.62,999.63,-2.02,2.31,99.50,0.99964,0.99962,0.99963,-0.03532,0.04039,1.73662,-0.00461,-0.00535,-0.00499,-0.75380,0.73948,2.28322,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99964,0.99962,0.99963,0.03532,-0.04039,-1.73662,0.00461,0.00535,0.00499,0.75380,-0.73948,-2.28322,0.0000,,,,0.0108,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.1950,3,0,-1.999920,2.000000,2.000000,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,999.36,999.27,999.31,-5.28,6.64,107.51,0.99936,0.99927,0.99931,-0.09221,0.11597,1.87635,-0.00631,-0.00847,-0.00745,-1.93821,1.93308,3.47233,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99936,0.99927,0.99931,0.09221,-0.11597,-1.87635,0.00631,0.00847,0.00745,1.93821,-1.93308,-3.47233,0.0000,,,,0.0085,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.2450,3,0,-1.999369,1.999152,2.000000,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,999.02,998.76,998.88,-10.52,15.42,118.23,0.99902,0.99876,0.99888,-0.18367,0.26919,2.06358,-0.00718,-0.01201,-0.00977,-3.12230,3.12616,4.66143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99902,0.99876,0.99888,0.18367,-0.26919,-2.06358,0.00718,0.01201,0.00977,3.12230,-3.12616,-4.66143,0.0000,,,,0.0086,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.2950,3,0,-1.997596,1.999638,1.996892,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,998.66,998.06,998.34,-16.23,29.31,131.36,0.99866,0.99806,0.99834,-0.28322,0.51149,2.29270,-0.00682,-0.01587,-0.01166,-4.30532,4.31955,5.84869,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99866,0.99806,0.99834,0.28322,-0.51149,-2.29270,0.00682,0.01587,0.01166,4.30532,-4.31955,-5.84869,0.0000,,,,0.0075,,,,,,"[0.000, 1.000, 0.000, 1.000, 1.000, 0.000]",0x010110,0.3450,3,2,-1.993052,1.993212,2.000000,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,998.29,997.25,997.66,-19.66,48.49,148.26,0.99829,0.99725,0.99766,-0.34312,0.84622,2.58768,-0.00790,-0.01699,-0.01566,-5.48572,5.50906,7.03777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99829,0.99725,0.99766,0.34312,-0.84622,-2.58768,0.00790,0.01699,0.01566,5.48572,-5.50906,-7.03777,0.0000,,,,0.0129,,,,,,"[0.000, 1.000, 0.000, 1.000, 0.000, 1.000]",0x010101,0.3950,3,2,-1.986322,1.988426,2.000000,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,997.80,996.36,996.85,-6.71,71.35,-177.17,0.99780,0.99636,0.99685,-0.11713,1.24526,-3.09212,-0.01146,-0.01899,-0.01694,-6.66218,6.69566,8.22685,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99780,0.99636,0.99685,0.11713,-1.24526,3.09212,0.01146,0.01899,0.01694,6.66218,-6.69566,-8.22685,0.0000,,,,0.0416,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.4450,0,3,0.000000,0.000000,0.000000,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,997.23,995.41,996.00,83.44,72.08,-64.70,0.99723,0.99541,0.99600,1.45630,1.25799,-1.12925,-0.01146,-0.01899,-0.01694,-6.66218,6.69566,8.22685,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99723,0.99541,0.99600,-1.45630,-1.25799,1.12925,0.01146,0.01899,0.01694,6.66218,-6.69566,-8.22685,0.0000,,,,0.0128,,,,,,"[0.000, 1.000, 0.985, 0.000, 0.000, 1.000]",0x011001,0.4950,3,3,-2.000000,1.998585,1.985795,0.0000,NO
