Time,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Command_Vector,Thruster_1_Cmd,Thruster_1_Val,Thruster_2_Cmd,Thruster_2_Val,Thruster_3_Cmd,Thruster_3_Val,Thruster_4_Cmd,Thruster_4_Val,Thruster_5_Cmd,Thruster_5_Val,Thruster_6_Cmd,Thruster_6_Val
0.0050,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0100,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0150,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0200,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0250,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0300,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0350,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0400,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0450,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0500,1.00000,1.00000,1.00000,-0.00005,0.00005,1.57107,-0.00025,-0.00025,-0.00025,-0.01932,0.01932,0.10942,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-1.00000,0.00005,-0.00005,-1.57107,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0550,1.00000,1.00000,1.00000,-0.00019,0.00019,1.57189,-0.00050,-0.00050,-0.00050,-0.03863,0.03863,0.21883,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-1.00000,0.00019,-0.00019,-1.57189,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0600,0.99999,0.99999,0.99999,-0.00043,0.00044,1.57326,-0.00075,-0.00075,-0.00075,-0.05795,0.05795,0.32825,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,-0.99999,0.00043,-0.00044,-1.57326,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0650,0.99999,0.99999,0.99999,-0.00077,0.00077,1.57517,-0.00100,-0.00100,-0.00100,-0.07727,0.07727,0.43767,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,-0.99999,0.00077,-0.00077,-1.57517,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0700,0.99998,0.99998,0.99998,-0.00120,0.00121,1.57763,-0.00125,-0.00125,-0.00125,-0.09659,0.09659,0.54708,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99998,-0.99998,-0.99998,0.00120,-0.00121,-1.57763,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0750,0.99998,0.99998,0.99998,-0.00173,0.00175,1.58064,-0.00150,-0.00150,-0.00150,-0.11590,0.11590,0.65650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99998,-0.99998,-0.99998,0.00173,-0.00175,-1.58064,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0800,0.99997,0.99997,0.99997,-0.00235,0.00238,1.58420,-0.00174,-0.00176,-0.00175,-0.13522,0.13522,0.76592,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99997,-0.99997,-0.99997,0.00235,-0.00238,-1.58420,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
