Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0424,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.0450,0,0,0.000000,0.000000,0.000000,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0419,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.0950,0,0,0.000000,0.000000,0.000000,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0059,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.1450,2,2,0.357471,-0.357471,-0.500000,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,1000.00,999.94,999.94,0.31,-0.30,89.57,1.00000,0.99994,0.99994,0.00533,-0.00529,1.56335,-0.00001,-0.00250,-0.00250,0.21253,-0.21253,-0.29727,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99994,0.99994,-0.00533,0.00529,-1.56335,0.00001,0.00250,0.00250,-0.21253,0.21253,0.29727,0.0000,,,,0.0312,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.1950,2,0,-0.304440,0.293424,-0.499699,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,1000.00,999.75,999.75,0.67,-0.65,88.29,1.00000,0.99975,0.99975,0.01164,-0.01135,1.54101,-0.00007,-0.00497,-0.00503,0.03124,-0.03837,-0.59435,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99975,0.99975,-0.01164,0.01135,-1.54101,0.00007,0.00497,0.00503,-0.03124,0.03837,0.59435,0.0000,,,,0.0309,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.2450,2,0,0.237959,-0.239940,-0.173413,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,999.99,999.44,999.43,0.98,-0.94,86.44,0.99999,0.99944,0.99943,0.01717,-0.01638,1.50863,-0.00021,-0.00744,-0.00756,0.17292,-0.18082,-0.69745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99999,0.99944,0.99943,-0.01717,0.01638,-1.50863,0.00021,0.00744,0.00756,-0.17292,0.18082,0.69745,0.0000,,,,0.0331,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.2950,2,0,-0.206944,0.196485,0.176602,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,999.98,999.01,998.99,1.34,-1.25,84.58,0.99998,0.99901,0.99899,0.02337,-0.02184,1.47626,-0.00045,-0.00988,-0.01010,0.04973,-0.06417,-0.59245,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99998,0.99901,0.99899,-0.02337,0.02184,-1.47626,0.00045,0.00988,0.01010,-0.04973,0.06417,0.59245,0.0000,,,,0.0290,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.3450,2,0,0.158207,-0.160480,-0.110223,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,999.94,998.45,998.42,1.66,-1.53,82.78,0.99994,0.99845,0.99842,0.02896,-0.02662,1.44486,-0.00078,-0.01230,-0.01266,0.14392,-0.15945,-0.65798,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99994,0.99845,0.99842,-0.02896,0.02662,-1.44486,0.00078,0.01230,0.01266,-0.14392,0.15945,0.65798,0.0000,,,,0.0207,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.3950,2,0,-0.141087,0.131824,0.124460,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,999.90,997.78,997.73,2.00,-1.81,80.99,0.99990,0.99778,0.99773,0.03498,-0.03163,1.41362,-0.00120,-0.01469,-0.01523,0.05994,-0.08119,-0.58398,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99990,0.99778,0.99773,-0.03498,0.03163,-1.41362,0.00120,0.01469,0.01523,-0.05994,0.08119,0.58398,0.0000,,,,0.0042,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.4450,2,0,0.101468,-0.104217,-0.065077,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,999.82,996.98,996.90,2.32,-2.07,79.25,0.99982,0.99698,0.99690,0.04051,-0.03610,1.38324,-0.00170,-0.01705,-0.01781,0.12034,-0.14307,-0.62268,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99982,0.99698,0.99690,-0.04051,0.03610,-1.38324,0.00170,0.01705,0.01781,-0.12034,0.14307,0.62268,0.0000,,,,0.0043,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.4950,2,0,-0.088828,0.081027,0.083194,0.0000,NO
