Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,"[1, 4, 5]",0.0046,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73194,91.30,"[1, 4, 5]",0.0217,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73162,95.62,"[1, 4, 5]",0.0050,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73108,103.48,"[1, 4, 5]",0.0049,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73033,115.32,"[1, 4, 5]",0.0050,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.72939,131.68,"[2, 4, 5]",0.0050,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.72829,152.98,"[2, 4, 5]",0.0050,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.72701,179.26,"[2, 4, 6]",0.0048,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72555,149.95,"[2, 4, 6]",0.0050,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72392,116.30,"[2, 3, 6]",0.0059,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.72213,84.96,"[1, 3, 6]",0.0071,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.72018,71.95,"[1, 3, 5]",0.0364,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.71805,95.53,[],0.0408,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.71585,141.81,"[2, 4, 5]",0.0145,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.71357,164.04,[],0.0408,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.71122,110.18,"[2, 3, 6]",0.0331,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.70881,73.81,[],0.0409,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.70637,91.12,[],0.0408,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.70393,144.93,"[2, 4, 5]",0.0363,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.70141,151.55,[],0.0408,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.69884,92.69,"[1, 3, 6]",0.0221,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.69618,75.46,[],0.0409,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.69344,125.52,"[2, 4, 5]",0.0049,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.69061,162.42,[],0.0409,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.68772,93.91,[],0.0409,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.68483,77.77,[],0.0408,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.68194,135.40,[],0.0408,1.3500
