Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,"[1, 5]",0.0263,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73198,89.57,"[1, 5]",0.0082,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73176,88.30,"[1, 5]",0.0031,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73140,86.61,"[1, 5]",0.0030,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73088,84.95,"[1, 5]",0.0032,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.73022,83.31,"[1, 5]",0.0070,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.72940,81.70,"[1, 5]",0.0031,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.72843,80.11,"[1, 5]",0.0031,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72729,78.55,"[1, 5]",0.0032,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72601,77.03,"[1, 5]",0.0041,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.72456,75.53,"[1, 5]",0.0032,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.72295,74.06,"[1, 5]",0.0031,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.72117,72.62,"[1, 5]",0.0032,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.71924,71.21,"[1, 5]",0.0040,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.71714,69.83,"[1, 5]",0.0031,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.71487,68.47,"[1, 5]",0.0033,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.71244,67.13,"[1, 5]",0.0034,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.70984,65.83,"[1, 5]",0.0033,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.70708,64.54,"[1, 5]",0.0043,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.70414,63.29,"[1, 5]",0.0033,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.70104,62.06,"[1, 5]",0.0032,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.69777,60.85,"[1, 5]",0.0033,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.69433,59.67,"[1, 5]",0.0033,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.69073,58.52,"[1, 5]",0.0042,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.68695,57.38,"[1, 5]",0.0033,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.68300,56.28,"[1, 5]",0.0033,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.67889,55.19,"[1, 5]",0.0032,1.3500
1.3950,Traveling to Target (t = 1.4s),,1.67461,54.13,"[1, 5]",0.0032,1.4000
1.4450,Traveling to Target (t = 1.4s),,1.67016,53.09,"[1, 5]",0.0042,1.4500
1.4950,Traveling to Target (t = 1.5s),,1.66554,52.07,"[1, 5]",0.0035,1.5000
1.5450,Traveling to Target (t = 1.5s),,1.66075,51.08,"[1, 5]",0.0033,1.5500
1.5950,Traveling to Target (t = 1.6s),,1.65579,50.11,"[1, 5]",0.0033,1.6000
1.6450,Traveling to Target (t = 1.6s),,1.65067,49.16,"[1, 5]",0.0032,1.6500
1.6950,Traveling to Target (t = 1.7s),,1.64538,48.23,"[1, 5]",0.0033,1.7000
1.7450,Traveling to Target (t = 1.7s),,1.63992,47.32,"[1, 5]",0.0042,1.7500
1.7950,Traveling to Target (t = 1.8s),,1.63430,46.43,"[1, 5]",0.0032,1.8000
1.8450,Traveling to Target (t = 1.8s),,1.62851,45.56,"[1, 5]",0.0032,1.8500
1.8950,Traveling to Target (t = 1.9s),,1.62255,44.71,"[1, 5]",0.0030,1.9000
1.9450,Traveling to Target (t = 1.9s),,1.61643,43.88,"[1, 5]",0.0032,1.9500
1.9950,Traveling to Target (t = 2.0s),,1.61014,43.07,"[1, 5]",0.0032,2.0000
2.0450,Traveling to Target (t = 2.0s),,1.60369,42.27,"[1, 5]",0.0032,2.0500
2.0950,Traveling to Target (t = 2.1s),,1.59708,41.50,"[1, 3, 5]",0.0075,2.1000
2.1450,Traveling to Target (t = 2.1s),,1.59030,40.74,"[1, 3, 5]",0.0021,2.1500
2.1950,Traveling to Target (t = 2.2s),,1.58333,40.00,"[1, 3, 5]",0.0032,2.2000
2.2450,Traveling to Target (t = 2.2s),,1.57619,39.28,"[1, 3, 5]",0.0021,2.2500
2.2950,Traveling to Target (t = 2.3s),,1.56886,38.58,"[1, 3, 5]",0.0021,2.3000
2.3450,Traveling to Target (t = 2.3s),,1.56136,37.89,"[1, 3, 5]",0.0033,2.3500
2.3950,Traveling to Target (t = 2.4s),,1.55367,37.22,"[1, 3, 5]",0.0021,2.4000
2.4450,Traveling to Target (t = 2.4s),,1.54580,36.56,"[1, 3, 5]",0.0021,2.4500
2.4950,Traveling to Target (t = 2.5s),,1.53775,35.92,"[1, 3, 5]",0.0052,2.5000
2.5450,Traveling to Target (t = 2.5s),,1.52952,35.29,"[1, 3, 5]",0.0021,2.5500
2.5950,Traveling to Target (t = 2.6s),,1.52110,34.68,"[1, 3, 5]",0.0034,2.6000
2.6450,Traveling to Target (t = 2.6s),,1.51250,34.08,"[1, 3, 5]",0.0032,2.6500
2.6950,Traveling to Target (t = 2.7s),,1.50373,33.50,"[1, 3, 5]",0.0022,2.7000
2.7450,Traveling to Target (t = 2.7s),,1.49476,32.93,"[1, 3, 5]",0.0022,2.7500
2.7950,Traveling to Target (t = 2.8s),,1.48562,32.37,"[1, 3, 5]",0.0022,2.8000
2.8450,Traveling to Target (t = 2.8s),,1.47630,31.83,"[1, 3, 5]",0.0032,2.8500
2.8950,Traveling to Target (t = 2.9s),,1.46679,31.29,"[1, 3, 5]",0.0021,2.9000
2.9450,Traveling to Target (t = 2.9s),,1.45711,30.78,"[1, 3, 5]",0.0041,2.9500
2.9950,Traveling to Target (t = 3.0s),,1.44724,30.27,"[1, 3, 5]",0.0031,3.0000
3.0450,Traveling to Target (t = 3.0s),,1.43720,29.77,"[1, 3, 5]",0.0022,3.0500
3.0950,Traveling to Target (t = 3.1s),,1.42697,29.29,"[1, 3, 5]",0.0032,3.1000
3.1450,Traveling to Target (t = 3.1s),,1.41657,28.81,"[1, 3, 5]",0.0021,3.1500
3.1950,Traveling to Target (t = 3.2s),,1.40600,28.35,"[1, 3, 5]",0.0021,3.2000
3.2450,Traveling to Target (t = 3.2s),,1.39524,27.90,"[1, 3, 5]",0.0033,3.2500
3.2950,Traveling to Target (t = 3.3s),,1.38431,27.45,"[1, 3, 5]",0.0021,3.3000
3.3450,Traveling to Target (t = 3.3s),,1.37321,27.02,"[1, 3, 5]",0.0022,3.3500
3.3950,Traveling to Target (t = 3.4s),,1.36193,26.59,"[1, 3, 5]",0.0032,3.4000
3.4450,Traveling to Target (t = 3.4s),,1.35048,26.18,"[1, 3, 5]",0.0021,3.4500
3.4950,Traveling to Target (t = 3.5s),,1.33887,25.77,"[1, 3, 5]",0.0042,3.5000
3.5450,Traveling to Target (t = 3.5s),,1.32708,25.37,"[1, 3, 5]",0.0032,3.5500
3.5950,Traveling to Target (t = 3.6s),,1.31513,24.98,"[1, 3, 5]",0.0022,3.6000
3.6450,Traveling to Target (t = 3.6s),,1.30301,24.60,"[1, 3]",0.0032,3.6500
3.6950,Traveling to Target (t = 3.7s),,1.29074,24.23,"[1, 3]",0.0022,3.7000
3.7450,Traveling to Target (t = 3.7s),,1.27835,23.86,"[1, 3]",0.0023,3.7500
3.7950,Traveling to Target (t = 3.8s),,1.26584,23.50,"[1, 3]",0.0021,3.8000
3.8450,Traveling to Target (t = 3.8s),,1.25321,23.14,[1],0.0021,3.8500
3.8950,Traveling to Target (t = 3.9s),,1.24047,22.79,[1],0.0022,3.9000
3.9450,Traveling to Target (t = 3.9s),,1.22767,22.45,[1],0.0021,3.9500
3.9950,Traveling to Target (t = 4.0s),,1.21478,22.12,[1],0.0021,4.0000
4.0450,Traveling to Target (t = 4.0s),,1.20183,21.79,[1],0.0021,4.0500
4.0950,Traveling to Target (t = 4.1s),,1.18880,21.46,[1],0.0022,4.1000
4.1450,Traveling to Target (t = 4.1s),,1.17570,21.15,[1],0.0022,4.1500
4.1950,Traveling to Target (t = 4.2s),,1.16253,20.83,[1],0.0030,4.2000
4.2450,Traveling to Target (t = 4.2s),,1.14928,20.52,[1],0.0022,4.2500
4.2950,Traveling to Target (t = 4.3s),,1.13596,20.22,[1],0.0021,4.3000
4.3450,Traveling to Target (t = 4.3s),,1.12258,19.92,[1],0.0021,4.3500
4.3950,Traveling to Target (t = 4.4s),,1.10912,19.63,[1],0.0021,4.4000
4.4450,Traveling to Target (t = 4.4s),,1.09560,19.34,[1],0.0022,4.4500
4.4950,Traveling to Target (t = 4.5s),,1.08200,19.05,[1],0.0022,4.5000
4.5450,Traveling to Target (t = 4.5s),,1.06834,18.77,[1],0.0021,4.5500
4.5950,Traveling to Target (t = 4.6s),,1.05462,18.49,[1],0.0033,4.6000
4.6450,Traveling to Target (t = 4.6s),,1.04082,18.22,[1],0.0021,4.6500
4.6950,Traveling to Target (t = 4.7s),,1.02696,17.95,[1],0.0021,4.7000
4.7450,Traveling to Target (t = 4.7s),,1.01304,17.68,[1],0.0022,4.7500
4.7950,Traveling to Target (t = 4.8s),,0.99906,17.42,[1],0.0033,4.8000
4.8450,Traveling to Target (t = 4.8s),,0.98501,17.16,[1],0.0021,4.8500
4.8950,Traveling to Target (t = 4.9s),,0.97091,16.90,[1],0.0032,4.9000
4.9450,Traveling to Target (t = 4.9s),,0.95675,16.64,[1],0.0021,4.9500
4.9950,Traveling to Target (t = 5.0s),,0.94252,16.39,[1],0.0032,5.0000
5.0450,Traveling to Target (t = 5.0s),,0.92825,16.14,[1],0.0022,5.0500
5.0950,Traveling to Target (t = 5.1s),,0.91392,15.89,[1],0.0032,5.1000
5.1450,Traveling to Target (t = 5.1s),,0.89953,15.65,[1],0.0030,5.1500
5.1950,Traveling to Target (t = 5.2s),,0.88510,15.41,[1],0.0021,5.2000
5.2450,Traveling to Target (t = 5.2s),,0.87062,15.17,[1],0.0021,5.2500
5.2950,Traveling to Target (t = 5.3s),,0.85609,14.93,[1],0.0031,5.3000
5.3450,Traveling to Target (t = 5.3s),,0.84152,14.70,[1],0.0021,5.3500
5.3950,Traveling to Target (t = 5.4s),,0.82691,14.46,[1],0.0021,5.4000
5.4450,Traveling to Target (t = 5.4s),,0.81226,14.23,[1],0.0021,5.4500
5.4950,Traveling to Target (t = 5.5s),,0.79757,14.00,[1],0.0021,5.5000
5.5450,Traveling to Target (t = 5.5s),,0.78286,13.77,[1],0.0032,5.5500
5.5950,Traveling to Target (t = 5.6s),,0.76811,13.55,[1],0.0021,5.6000
5.6450,Traveling to Target (t = 5.6s),,0.75334,13.32,[1],0.0021,5.6500
5.6950,Traveling to Target (t = 5.7s),,0.73856,13.10,[1],0.0033,5.7000
5.7450,Traveling to Target (t = 5.7s),,0.72375,12.87,[1],0.0022,5.7500
5.7950,Traveling to Target (t = 5.8s),,0.70894,12.65,[1],0.0021,5.8000
5.8450,Traveling to Target (t = 5.8s),,0.69412,12.43,[1],0.0022,5.8500
5.8950,Traveling to Target (t = 5.9s),,0.67930,12.22,[1],0.0021,5.9000
