Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0263,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.0450,2,0,0.323761,-0.323761,-0.500000,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,1000.00,999.94,999.94,0.28,-0.27,89.57,1.00000,0.99994,0.99994,0.00483,-0.00479,1.56335,-0.00001,-0.00250,-0.00250,0.19249,-0.19249,-0.29727,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99994,0.99994,-0.00483,0.00479,-1.56335,0.00001,0.00250,0.00250,-0.19249,0.19249,0.29727,0.0000,,,,0.0082,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.0950,2,0,-0.273459,0.264421,-0.499106,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,1000.00,999.75,999.75,0.61,-0.59,88.29,1.00000,0.99975,0.99975,0.01057,-0.01030,1.54103,-0.00007,-0.00498,-0.00502,0.02965,-0.03554,-0.59400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99975,0.99975,-0.01057,0.01030,-1.54103,0.00007,0.00498,0.00502,-0.02965,0.03554,0.59400,0.0000,,,,0.0031,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.1450,2,0,0.213567,-0.215153,0.009390,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,999.99,999.44,999.44,0.89,-0.85,86.60,0.99999,0.99944,0.99944,0.01559,-0.01490,1.51140,-0.00021,-0.00744,-0.00755,0.15681,-0.16327,-0.58841,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99999,0.99944,0.99944,-0.01559,0.01490,-1.51140,0.00021,0.00744,0.00755,-0.15681,0.16327,0.58841,0.0000,,,,0.0030,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.1950,2,0,-0.184078,0.175262,0.020701,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,999.98,999.01,998.99,1.22,-1.14,84.92,0.99998,0.99901,0.99899,0.02121,-0.01991,1.48219,-0.00043,-0.00989,-0.01010,0.04722,-0.05923,-0.57610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99998,0.99901,0.99899,-0.02121,0.01991,-1.48219,0.00043,0.00989,0.01010,-0.04722,0.05923,0.57610,0.0000,,,,0.0032,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.2450,2,0,0.140757,-0.142447,0.011437,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,999.95,998.45,998.43,1.51,-1.39,83.28,0.99995,0.99845,0.99843,0.02630,-0.02432,1.45343,-0.00074,-0.01231,-0.01265,0.13103,-0.14379,-0.56931,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99995,0.99845,0.99843,-0.02630,0.02432,-1.45343,0.00074,0.01231,0.01265,-0.13103,0.14379,0.56931,0.0000,,,,0.0070,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.2950,2,0,-0.132129,0.132970,0.006136,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,999.90,997.78,997.73,1.81,-1.64,81.64,0.99990,0.99778,0.99773,0.03165,-0.02870,1.42491,-0.00112,-0.01472,-0.01521,0.05236,-0.06485,-0.56566,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99990,0.99778,0.99773,-0.03165,0.02870,-1.42491,0.00112,0.01472,0.01521,-0.05236,0.06485,0.56566,0.0000,,,,0.0031,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.3450,2,0,0.067905,-0.079094,0.024526,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,999.83,996.98,996.90,2.07,-1.84,80.03,0.99983,0.99698,0.99690,0.03613,-0.03217,1.39684,-0.00159,-0.01710,-0.01779,0.09280,-0.11182,-0.55107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99983,0.99698,0.99690,-0.03613,0.03217,-1.39684,0.00159,0.01710,0.01779,-0.09280,0.11182,0.55107,0.0000,,,,0.0031,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.3950,2,0,-0.020129,0.016771,0.015667,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,999.74,996.07,995.95,2.37,-2.09,78.46,0.99974,0.99607,0.99595,0.04141,-0.03645,1.36932,-0.00213,-0.01945,-0.02037,0.08082,-0.10186,-0.54176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99974,0.99607,0.99595,-0.04141,0.03645,-1.36932,0.00213,0.01945,0.02037,-0.08082,0.10186,0.54176,0.0000,,,,0.0032,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.4450,2,0,0.000345,-0.005932,0.016675,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,999.62,995.04,994.87,2.66,-2.32,76.91,0.99962,0.99504,0.99487,0.04650,-0.04045,1.34226,-0.00275,-0.02178,-0.02296,0.08104,-0.10538,-0.53184,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99962,0.99504,0.99487,-0.04650,0.04045,-1.34226,0.00275,0.02178,0.02296,-0.08104,0.10538,0.53184,0.0000,,,,0.0040,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.4950,2,0,-0.006236,0.001981,0.015539,0.0000,NO
