Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,[],0.0423,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73205,90.00,[],0.0422,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73205,90.00,"[1, 5]",0.0197,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73198,89.62,"[1, 5]",0.0362,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73176,89.15,"[1, 5]",0.0353,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.73140,88.75,"[1, 5]",0.0372,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.73089,88.30,"[1, 5]",0.0328,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.73024,87.90,"[1, 5]",0.0388,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72943,87.46,"[1, 5]",0.0364,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72848,87.05,"[1, 5]",0.0337,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.72738,86.62,"[1, 5]",0.0392,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.72614,86.21,"[1, 5]",0.0381,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.72474,85.79,"[1, 5]",0.0375,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.72320,85.38,"[1, 5]",0.0329,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.72150,84.97,"[1, 5]",0.0344,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.71966,84.56,"[1, 5]",0.0384,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.71766,84.15,"[1, 5]",0.0148,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.71552,83.74,"[1, 5]",0.0042,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.71322,83.34,"[1, 5]",0.0041,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.71077,82.94,"[1, 5]",0.0041,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.70817,82.53,"[1, 5]",0.0041,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.70542,82.13,"[1, 5]",0.0042,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.70251,81.74,"[1, 5]",0.0041,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.69946,81.34,"[1, 5]",0.0062,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.69625,80.94,"[1, 5]",0.0041,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.69289,80.55,"[1, 5]",0.0062,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.68937,80.16,"[1, 5]",0.0041,1.3500
1.3950,Traveling to Target (t = 1.4s),,1.68571,79.77,"[1, 5]",0.0062,1.4000
1.4450,Traveling to Target (t = 1.4s),,1.68189,79.38,"[1, 5]",0.0062,1.4500
1.4950,Traveling to Target (t = 1.5s),,1.67792,79.00,"[1, 5]",0.0043,1.5000
1.5450,Traveling to Target (t = 1.5s),,1.67379,78.61,"[1, 5]",0.0040,1.5500
1.5950,Traveling to Target (t = 1.6s),,1.66951,78.23,"[1, 5]",0.0394,1.6000
1.6450,Traveling to Target (t = 1.6s),,1.66508,77.85,"[1, 5]",0.0041,1.6500
1.6950,Traveling to Target (t = 1.7s),,1.66050,77.47,"[1, 5]",0.0063,1.7000
1.7450,Traveling to Target (t = 1.7s),,1.65576,77.09,"[1, 5]",0.0042,1.7500
1.7950,Traveling to Target (t = 1.8s),,1.65087,76.71,"[1, 5]",0.0041,1.8000
1.8450,Traveling to Target (t = 1.8s),,1.64583,76.34,"[1, 5]",0.0061,1.8500
1.8950,Traveling to Target (t = 1.9s),,1.64064,75.96,"[1, 5]",0.0040,1.9000
1.9450,Traveling to Target (t = 1.9s),,1.63529,75.59,"[1, 5]",0.0041,1.9500
1.9950,Traveling to Target (t = 2.0s),,1.62979,75.22,"[1, 5]",0.0063,2.0000
2.0450,Traveling to Target (t = 2.0s),,1.62414,74.85,"[1, 5]",0.0062,2.0500
2.0950,Traveling to Target (t = 2.1s),,1.61834,74.49,"[1, 5]",0.0062,2.1000
2.1450,Traveling to Target (t = 2.1s),,1.61239,74.12,"[1, 5]",0.0041,2.1500
2.1950,Traveling to Target (t = 2.2s),,1.60628,73.76,"[1, 5]",0.0072,2.2000
2.2450,Traveling to Target (t = 2.2s),,1.60002,73.40,"[1, 5]",0.0062,2.2500
2.2950,Traveling to Target (t = 2.3s),,1.59362,73.04,"[1, 5]",0.0062,2.3000
2.3450,Traveling to Target (t = 2.3s),,1.58706,72.68,"[1, 5]",0.0101,2.3500
2.3950,Traveling to Target (t = 2.4s),,1.58035,72.32,"[1, 5]",0.0062,2.4000
2.4450,Traveling to Target (t = 2.4s),,1.57349,71.96,"[1, 5]",0.0041,2.4500
2.4950,Traveling to Target (t = 2.5s),,1.56648,71.61,"[1, 5]",0.0062,2.5000
2.5450,Traveling to Target (t = 2.5s),,1.55933,71.26,"[1, 5]",0.0040,2.5500
2.5950,Traveling to Target (t = 2.6s),,1.55202,70.90,"[1, 5]",0.0062,2.6000
2.6450,Traveling to Target (t = 2.6s),,1.54457,70.55,"[1, 5]",0.0084,2.6500
2.6950,Traveling to Target (t = 2.7s),,1.53697,70.21,"[1, 5]",0.0062,2.7000
2.7450,Traveling to Target (t = 2.7s),,1.52923,69.86,"[1, 5]",0.0062,2.7500
2.7950,Traveling to Target (t = 2.8s),,1.52133,69.51,"[1, 5]",0.0061,2.8000
2.8450,Traveling to Target (t = 2.8s),,1.51330,69.17,"[1, 5]",0.0062,2.8500
2.8950,Traveling to Target (t = 2.9s),,1.50511,68.83,"[1, 5]",0.0040,2.9000
2.9450,Traveling to Target (t = 2.9s),,1.49679,68.49,"[1, 5]",0.0063,2.9500
2.9950,Traveling to Target (t = 3.0s),,1.48832,68.15,"[1, 5]",0.0041,3.0000
3.0450,Traveling to Target (t = 3.0s),,1.47970,67.81,"[1, 5]",0.0063,3.0500
3.0950,Traveling to Target (t = 3.1s),,1.47095,67.47,"[1, 5]",0.0062,3.1000
3.1450,Traveling to Target (t = 3.1s),,1.46206,67.14,"[1, 5]",0.0063,3.1500
3.1950,Traveling to Target (t = 3.2s),,1.45302,66.80,"[1, 5]",0.0102,3.2000
3.2450,Traveling to Target (t = 3.2s),,1.44385,66.47,"[1, 5]",0.0083,3.2500
3.2950,Traveling to Target (t = 3.3s),,1.43453,66.14,"[1, 5]",0.0061,3.3000
3.3450,Traveling to Target (t = 3.3s),,1.42509,65.81,"[1, 5]",0.0082,3.3500
3.3950,Traveling to Target (t = 3.4s),,1.41550,65.48,"[1, 5]",0.0061,3.4000
3.4450,Traveling to Target (t = 3.4s),,1.40578,65.15,"[1, 5]",0.0063,3.4500
3.4950,Traveling to Target (t = 3.5s),,1.39593,64.83,"[1, 5]",0.0062,3.5000
3.5450,Traveling to Target (t = 3.5s),,1.38595,64.51,"[1, 5]",0.0062,3.5500
3.5950,Traveling to Target (t = 3.6s),,1.37583,64.18,"[1, 5]",0.0062,3.6000
3.6450,Traveling to Target (t = 3.6s),,1.36559,63.86,[1],0.0061,3.6500
3.6950,Traveling to Target (t = 3.7s),,1.35525,63.54,[1],0.0062,3.7000
3.7450,Traveling to Target (t = 3.7s),,1.34484,63.22,[1],0.0063,3.7500
3.7950,Traveling to Target (t = 3.8s),,1.33437,62.91,[1],0.0041,3.8000
3.8450,Traveling to Target (t = 3.8s),,1.32383,62.59,[1],0.0063,3.8500
3.8950,Traveling to Target (t = 3.9s),,1.31322,62.27,[1],0.0041,3.9000
3.9450,Traveling to Target (t = 3.9s),,1.30256,61.96,[1],0.0064,3.9500
3.9950,Traveling to Target (t = 4.0s),,1.29182,61.65,[1],0.0041,4.0000
4.0450,Traveling to Target (t = 4.0s),,1.28103,61.34,[1],0.0063,4.0500
4.0950,Traveling to Target (t = 4.1s),,1.27017,61.03,[1],0.0101,4.1000
4.1450,Traveling to Target (t = 4.1s),,1.25926,60.72,[1],0.0062,4.1500
4.1950,Traveling to Target (t = 4.2s),,1.24828,60.41,[1],0.0041,4.2000
4.2450,Traveling to Target (t = 4.2s),,1.23725,60.11,[1],0.0062,4.2500
4.2950,Traveling to Target (t = 4.3s),,1.22616,59.80,[1],0.0041,4.3000
4.3450,Traveling to Target (t = 4.3s),,1.21501,59.50,[1],0.0063,4.3500
4.3950,Traveling to Target (t = 4.4s),,1.20381,59.20,[1],0.0085,4.4000
4.4450,Traveling to Target (t = 4.4s),,1.19256,58.90,[1],0.0063,4.4500
4.4950,Traveling to Target (t = 4.5s),,1.18125,58.60,[1],0.0041,4.5000
4.5450,Traveling to Target (t = 4.5s),,1.16990,58.30,[1],0.0064,4.5500
4.5950,Traveling to Target (t = 4.6s),,1.15850,58.01,[1],0.0041,4.6000
4.6450,Traveling to Target (t = 4.6s),,1.14705,57.71,[1],0.0063,4.6500
4.6950,Traveling to Target (t = 4.7s),,1.13556,57.42,[1],0.0041,4.7000
4.7450,Traveling to Target (t = 4.7s),,1.12403,57.12,[],0.0040,4.7500
4.7950,Traveling to Target (t = 4.8s),,1.11251,56.83,[],0.0041,4.8000
4.8450,Traveling to Target (t = 4.8s),,1.10105,56.54,[],0.0041,4.8500
4.8950,Traveling to Target (t = 4.9s),,1.08967,56.25,[],0.0042,4.9000
4.9450,Traveling to Target (t = 4.9s),,1.07836,55.97,[],0.0042,4.9500
4.9950,Traveling to Target (t = 5.0s),,1.06712,55.68,[],0.0042,5.0000
5.0450,Traveling to Target (t = 5.0s),,1.05596,55.39,[],0.0060,5.0500
5.0950,Traveling to Target (t = 5.1s),,1.04488,55.11,[],0.0041,5.1000
5.1450,Traveling to Target (t = 5.1s),,1.03387,54.83,[],0.0042,5.1500
5.1950,Traveling to Target (t = 5.2s),,1.02296,54.54,[],0.0042,5.2000
5.2450,Traveling to Target (t = 5.2s),,1.01212,54.26,[],0.0042,5.2500
5.2950,Traveling to Target (t = 5.3s),,1.00138,53.98,[],0.0041,5.3000
5.3450,Traveling to Target (t = 5.3s),,0.99073,53.71,[],0.0041,5.3500
5.3950,Traveling to Target (t = 5.4s),,0.98017,53.43,[],0.0041,5.4000
5.4450,Traveling to Target (t = 5.4s),,0.96972,53.15,[],0.0041,5.4500
5.4950,Traveling to Target (t = 5.5s),,0.95936,52.88,[],0.0041,5.5000
5.5450,Traveling to Target (t = 5.5s),,0.94911,52.61,[],0.0041,5.5500
5.5950,Traveling to Target (t = 5.6s),,0.93897,52.33,[],0.0041,5.6000
5.6450,Traveling to Target (t = 5.6s),,0.92894,52.06,[],0.0041,5.6500
5.6950,Traveling to Target (t = 5.7s),,0.91902,51.79,[],0.0041,5.7000
5.7450,Traveling to Target (t = 5.7s),,0.90923,51.52,[],0.0040,5.7500
5.7950,Traveling to Target (t = 5.8s),,0.89955,51.26,[],0.0041,5.8000
5.8450,Traveling to Target (t = 5.8s),,0.89001,50.99,[],0.0040,5.8500
5.8950,Traveling to Target (t = 5.9s),,0.88059,50.72,[],0.0041,5.9000
5.9450,Traveling to Target (t = 5.9s),,0.87131,50.46,[],0.0040,5.9500
5.9950,Traveling to Target (t = 6.0s),,0.86217,50.20,[],0.0041,6.0000
6.0450,Traveling to Target (t = 6.0s),,0.85318,49.94,[],0.0040,6.0500
6.0950,Traveling to Target (t = 6.1s),,0.84433,49.68,[],0.0060,6.1000
6.1450,Traveling to Target (t = 6.1s),,0.83564,49.42,[],0.0041,6.1500
6.1950,Traveling to Target (t = 6.2s),,0.82711,49.16,[],0.0041,6.2000
6.2450,Traveling to Target (t = 6.2s),,0.81874,48.90,[],0.0040,6.2500
6.2950,Traveling to Target (t = 6.3s),,0.81053,48.64,[],0.0041,6.3000
6.3450,Traveling to Target (t = 6.3s),,0.80251,48.39,[],0.0042,6.3500
6.3950,Traveling to Target (t = 6.4s),,0.79466,48.14,[],0.0042,6.4000
6.4450,Traveling to Target (t = 6.4s),,0.78699,47.88,[],0.0041,6.4500
6.4950,Traveling to Target (t = 6.5s),,0.77952,47.63,[],0.0041,6.5000
6.5450,Traveling to Target (t = 6.5s),,0.77224,47.38,[],0.0041,6.5500
6.5950,Traveling to Target (t = 6.6s),,0.76516,47.13,[],0.0042,6.6000
6.6450,Traveling to Target (t = 6.6s),,0.75829,46.88,[],0.0041,6.6500
6.6950,Traveling to Target (t = 6.7s),,0.75163,46.64,[],0.0041,6.7000
6.7450,Traveling to Target (t = 6.7s),,0.74519,46.39,[],0.0040,6.7500
6.7950,Traveling to Target (t = 6.8s),,0.73897,46.15,[],0.0040,6.8000
6.8450,Traveling to Target (t = 6.8s),,0.73298,45.90,[],0.0040,6.8500
6.8950,Traveling to Target (t = 6.9s),,0.72723,45.66,[],0.0041,6.9000
6.9450,Traveling to Target (t = 6.9s),,0.72171,45.42,[],0.0040,6.9500
6.9950,Traveling to Target (t = 7.0s),,0.71644,45.18,[],0.0040,7.0000
7.0450,Traveling to Target (t = 7.0s),,0.71143,44.94,[],0.0041,7.0500
7.0950,Traveling to Target (t = 7.1s),,0.70667,44.70,[],0.0041,7.1000
7.1450,Traveling to Target (t = 7.1s),,0.70217,44.47,[],0.0041,7.1500
7.1950,Traveling to Target (t = 7.2s),,0.69794,44.23,[],0.0041,7.2000
7.2450,Traveling to Target (t = 7.2s),,0.69399,44.00,[],0.0040,7.2500
7.2950,Traveling to Target (t = 7.3s),,0.69031,43.77,[],0.0059,7.3000
7.3450,Traveling to Target (t = 7.3s),,0.68691,43.53,[],0.0041,7.3500
