Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0422,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.0450,0,0,0.000000,0.000000,0.000000,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0422,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.0950,0,0,0.000000,0.000000,0.000000,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0196,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.1450,2,2,0.079822,-0.079822,-0.452123,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,1000.00,999.94,999.94,0.07,-0.07,89.61,1.00000,0.99994,0.99994,0.00119,-0.00118,1.56408,-0.00001,-0.00250,-0.00250,0.04746,-0.04746,-0.26880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99994,0.99994,-0.00119,0.00118,-1.56408,0.00001,0.00250,0.00250,-0.04746,0.04746,0.26880,0.0000,,,,0.0361,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.1950,2,0,-0.063368,0.062815,0.357359,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,1000.00,999.75,999.75,0.15,-0.15,89.15,1.00000,0.99975,0.99975,0.00264,-0.00261,1.55594,-0.00004,-0.00499,-0.00501,0.00978,-0.01011,-0.05634,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99975,0.99975,-0.00264,0.00261,-1.55594,0.00004,0.00499,0.00501,-0.00978,0.01011,0.05634,0.0000,,,,0.0353,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.2450,2,0,0.049197,-0.049438,-0.279340,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,1000.00,999.44,999.44,0.22,-0.22,88.75,1.00000,0.99944,0.99944,0.00388,-0.00382,1.54897,-0.00009,-0.00749,-0.00751,0.03903,-0.03950,-0.22242,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99944,0.99944,-0.00388,0.00382,-1.54897,0.00009,0.00749,0.00751,-0.03903,0.03950,0.22242,0.0000,,,,0.0371,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.2950,2,0,-0.039297,0.038898,0.221455,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,999.99,999.00,999.00,0.30,-0.30,88.30,0.99999,0.99900,0.99900,0.00528,-0.00518,1.54114,-0.00017,-0.00997,-0.01002,0.01567,-0.01638,-0.09075,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99999,0.99900,0.99900,-0.00528,0.00518,-1.54114,0.00017,0.00997,0.01002,-0.01567,0.01638,0.09075,0.0000,,,,0.0327,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.3450,2,0,0.030269,-0.030621,-0.172444,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,999.98,998.44,998.43,0.38,-0.37,87.89,0.99998,0.99844,0.99843,0.00656,-0.00642,1.53403,-0.00026,-0.01246,-0.01254,0.03366,-0.03458,-0.19328,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99998,0.99844,0.99843,-0.00656,0.00642,-1.53403,0.00026,0.01246,0.01254,-0.03366,0.03458,0.19328,0.0000,,,,0.0387,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.3950,2,0,-0.024422,0.024085,0.137376,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,999.96,997.76,997.74,0.45,-0.44,87.46,0.99996,0.99776,0.99774,0.00793,-0.00773,1.52640,-0.00038,-0.01494,-0.01506,0.01915,-0.02026,-0.11160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99996,0.99776,0.99774,-0.00793,0.00773,-1.52640,0.00038,0.01494,0.01506,-0.01915,0.02026,0.11160,0.0000,,,,0.0364,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.4450,2,0,0.018570,-0.018969,-0.106312,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,999.94,996.95,996.93,0.53,-0.51,87.05,0.99994,0.99695,0.99693,0.00922,-0.00897,1.51922,-0.00052,-0.01741,-0.01758,0.03019,-0.03154,-0.17481,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99994,0.99695,0.99693,-0.00922,0.00897,-1.51922,0.00052,0.01741,0.01758,-0.03019,0.03154,0.17481,0.0000,,,,0.0337,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.4950,2,0,-0.015261,0.014942,0.085351,0.0000,NO
