Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,0.00,0.00,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0177,,,,,,"[1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000]",0x11000011,0.0450,4,0,0.000000,0.000000,0.000386,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,999.89,999.88,0.00,0.00,0.00,0.00,0.99989,0.99988,0.00000,0.00000,0.00000,0.00000,-0.00436,-0.00476,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99989,0.99988,0.00000,0.00000,0.00000,-0.00000,0.00436,0.00476,0.00000,0.00000,0.00000,-0.00000,0.0000,,,,0.0067,,,,,,"[0.999, 0.999, 0.002, 0.002, 0.001, 0.001, 0.998, 0.998]",0x11000011,0.0950,4,0,0.000000,0.000000,0.000375,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,999.56,999.52,0.00,0.00,0.00,0.00,0.99956,0.99952,0.00000,0.00000,0.00000,0.00000,-0.00872,-0.00951,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99956,0.99952,0.00000,0.00000,0.00000,-0.00000,0.00872,0.00951,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0053,,,,,,"[0.998, 0.999, 0.002, 0.002, 0.002, 0.002, 0.998, 0.998]",0x11000011,0.1450,4,0,0.000000,0.000000,0.000387,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,999.02,998.93,0.00,0.00,0.00,-0.00,0.99902,0.99893,0.00000,0.00000,0.00000,-0.00000,-0.01308,-0.01427,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99902,0.99893,0.00000,0.00000,0.00000,0.00000,0.01308,0.01427,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0065,,,,,,"[0.999, 0.999, 0.001, 0.001, 0.002, 0.001, 0.999, 0.999]",0x11000011,0.1950,4,0,0.000000,0.000000,0.000381,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,998.26,998.10,0.00,0.00,0.00,-0.00,0.99826,0.99810,0.00000,0.00000,0.00000,-0.00000,-0.01744,-0.01902,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99826,0.99810,0.00000,0.00000,0.00000,0.00000,0.01744,0.01902,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0066,,,,,,"[0.998, 0.998, 0.002, 0.002, 0.002, 0.002, 0.998, 0.998]",0x11000011,0.2450,4,0,0.000000,0.000000,0.000383,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,997.27,997.03,0.00,0.00,0.00,-0.00,0.99727,0.99703,0.00000,0.00000,0.00000,-0.00000,-0.02180,-0.02378,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99727,0.99703,0.00000,0.00000,0.00000,0.00000,0.02180,0.02378,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0079,,,,,,"[0.999, 0.999, 0.001, 0.001, 0.001, 0.001, 0.999, 0.999]",0x11000011,0.2950,4,0,0.000000,0.000000,0.000385,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,996.08,995.72,0.00,0.00,0.00,-0.00,0.99608,0.99572,0.00000,0.00000,0.00000,-0.00000,-0.02616,-0.02853,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99608,0.99572,0.00000,0.00000,0.00000,0.00000,0.02616,0.02853,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0056,,,,,,"[0.999, 0.999, 0.002, 0.002, 0.002, 0.001, 0.998, 0.998]",0x11000011,0.3450,4,0,0.000000,0.000000,0.000380,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,994.66,994.17,0.00,0.00,0.00,-0.00,0.99466,0.99417,0.00000,0.00000,0.00000,-0.00000,-0.03052,-0.03329,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99466,0.99417,0.00000,0.00000,0.00000,0.00000,0.03052,0.03329,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0068,,,,,,"[0.999, 0.999, 0.001, 0.001, 0.001, 0.001, 0.999, 0.999]",0x11000011,0.3950,4,0,0.000000,0.000000,0.000385,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,993.02,992.39,0.00,0.00,0.00,-0.00,0.99302,0.99239,0.00000,0.00000,0.00000,-0.00000,-0.03488,-0.03804,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99302,0.99239,0.00000,0.00000,0.00000,0.00000,0.03488,0.03804,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0076,,,,,,"[0.999, 0.999, 0.001, 0.001, 0.001, 0.001, 0.999, 0.999]",0x11000011,0.4450,4,0,0.000000,0.000000,0.000381,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,991.17,990.37,0.00,0.00,0.00,-0.00,0.99117,0.99037,0.00000,0.00000,0.00000,-0.00000,-0.03924,-0.04280,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99117,0.99037,0.00000,0.00000,0.00000,0.00000,0.03924,0.04280,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0065,,,,,,"[0.999, 0.999, 0.001, 0.001, 0.001, 0.001, 0.999, 0.999]",0x11000011,0.4950,4,0,0.000000,0.000000,0.000384,0.0000,NO
