Time,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Command_Vector,Thruster_1_Cmd,Thruster_1_Val,Thruster_2_Cmd,Thruster_2_Val,Thruster_3_Cmd,Thruster_3_Val,Thruster_4_Cmd,Thruster_4_Val,Thruster_5_Cmd,Thruster_5_Val,Thruster_6_Cmd,Thruster_6_Val
0.0050,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0100,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0150,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0200,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0250,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0300,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0350,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0400,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0450,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0500,1.00000,1.00000,1.00000,-0.00000,0.00000,1.57080,-0.00025,-0.00025,-0.00025,-0.00031,0.00031,0.00178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-1.00000,0.00000,-0.00000,-1.57080,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0550,1.00000,1.00000,1.00000,-0.00000,0.00000,1.57081,-0.00050,-0.00050,-0.00050,-0.00063,0.00063,0.00355,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-1.00000,0.00000,-0.00000,-1.57081,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0600,0.99999,0.99999,0.99999,-0.00001,0.00001,1.57084,-0.00075,-0.00075,-0.00075,-0.00094,0.00094,0.00533,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,-0.99999,0.00001,-0.00001,-1.57084,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0650,0.99999,0.99999,0.99999,-0.00001,0.00001,1.57087,-0.00100,-0.00100,-0.00100,-0.00125,0.00125,0.00711,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,-0.99999,0.00001,-0.00001,-1.57087,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0700,0.99998,0.99998,0.99998,-0.00002,0.00002,1.57091,-0.00125,-0.00125,-0.00125,-0.00157,0.00157,0.00888,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99998,-0.99998,-0.99998,0.00002,-0.00002,-1.57091,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0750,0.99998,0.99998,0.99998,-0.00003,0.00003,1.57096,-0.00150,-0.00150,-0.00150,-0.00188,0.00188,0.01066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99998,-0.99998,-0.99998,0.00003,-0.00003,-1.57096,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0800,0.99997,0.99997,0.99997,-0.00004,0.00004,1.57101,-0.00175,-0.00175,-0.00175,-0.00220,0.00220,0.01244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99997,-0.99997,-0.99997,0.00004,-0.00004,-1.57101,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
