Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0392,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.0450,3,0,-0.005276,0.005276,0.029886,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,999.94,999.94,999.94,-0.00,0.00,90.03,0.99994,0.99994,0.99994,-0.00008,0.00008,1.57124,-0.00250,-0.00250,-0.00250,-0.00314,0.00314,0.01777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99994,0.99994,0.99994,0.00008,-0.00008,-1.57124,0.00250,0.00250,0.00250,0.00314,-0.00314,-0.01777,0.0000,,,,0.0140,,,,,,"[0.998, 0.002, 0.002, 0.998, 0.998, 0.002]",0x100110,0.0950,3,0,-0.014693,0.014691,0.083217,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,999.75,999.75,999.75,-0.03,0.03,90.15,0.99975,0.99975,0.99975,-0.00045,0.00045,1.57337,-0.00500,-0.00500,-0.00500,-0.01187,0.01187,0.06724,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99975,0.99975,0.99975,0.00045,-0.00045,-1.57337,0.00500,0.00500,0.00500,0.01187,-0.01187,-0.06724,0.0000,,,,0.0154,,,,,,"[0.998, 0.002, 0.002, 0.998, 0.998, 0.002]",0x100110,0.1450,3,0,-0.040921,0.040902,0.231728,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,999.44,999.44,999.44,-0.09,0.10,90.54,0.99944,0.99944,0.99944,-0.00165,0.00166,1.58017,-0.00748,-0.00752,-0.00750,-0.03620,0.03619,0.20501,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99944,0.99944,0.99944,0.00165,-0.00166,-1.58017,0.00748,0.00752,0.00750,0.03620,-0.03619,-0.20501,0.0000,,,,0.0152,,,,,,"[0.998, 0.002, 0.002, 0.998, 0.998, 0.002]",0x100110,0.1950,3,0,-0.113969,0.113882,0.645289,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,999.00,999.00,999.00,-0.29,0.30,91.67,0.99900,0.99900,0.99900,-0.00508,0.00523,1.60000,-0.00993,-0.01007,-0.01000,-0.10396,0.10390,0.58866,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99900,0.99900,0.99900,0.00508,-0.00523,-1.60000,0.00993,0.01007,0.01000,0.10396,-0.10390,-0.58866,0.0000,,,,0.0154,,,,,,"[0.998, 0.002, 0.002, 0.998, 0.998, 0.002]",0x100110,0.2450,3,0,-0.317424,0.317074,1.796935,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,998.45,998.43,998.44,-0.83,0.90,94.88,0.99845,0.99843,0.99844,-0.01442,0.01569,1.65605,-0.01228,-0.01271,-0.01250,-0.29268,0.29241,1.65699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99845,0.99843,0.99844,0.01442,-0.01569,-1.65605,0.01228,0.01271,0.01250,0.29268,-0.29241,-1.65699,0.0000,,,,0.0411,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.2950,0,3,0.000000,0.000000,0.000000,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,997.83,997.79,997.81,-1.55,1.84,99.61,0.99783,0.99779,0.99781,-0.02709,0.03203,1.73860,-0.01228,-0.01271,-0.01250,-0.29268,0.29241,1.65699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99783,0.99779,0.99781,0.02709,-0.03203,-1.73860,0.01228,0.01271,0.01250,0.29268,-0.29241,-1.65699,0.0000,,,,0.0076,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.3450,3,3,-0.884530,0.882808,1.999976,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,997.17,997.08,997.13,-2.84,3.67,106.01,0.99717,0.99708,0.99713,-0.04961,0.06403,1.85015,-0.01408,-0.01577,-0.01497,-0.81725,0.81857,2.84604,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99717,0.99708,0.99713,0.04961,-0.06403,-1.85015,0.01408,0.01577,0.01497,0.81725,-0.81857,-2.84604,0.0000,,,,0.0074,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.3950,3,0,-2.000000,2.000000,2.000000,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,996.43,996.21,996.32,-5.91,8.45,115.57,0.99643,0.99621,0.99632,-0.10308,0.14743,2.01716,-0.01531,-0.01914,-0.01739,-2.00026,2.01363,4.03510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99643,0.99621,0.99632,0.10308,-0.14743,-2.01716,0.01531,0.01914,0.01739,2.00026,-2.01363,-4.03510,0.0000,,,,0.0118,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.4450,3,0,-2.000000,2.000000,2.000000,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,995.66,995.16,995.39,-10.58,17.75,127.93,0.99566,0.99516,0.99539,-0.18472,0.30987,2.23285,-0.01557,-0.02282,-0.01962,-3.18327,3.20870,5.22416,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99566,0.99516,0.99539,0.18472,-0.30987,-2.23285,0.01557,0.02282,0.01962,3.18327,-3.20870,-5.22416,0.0000,,,,0.0173,,,,,,"[0.000, 1.000, 0.000, 1.000, 1.000, 0.000]",0x010110,0.4950,3,2,-2.000000,2.000000,2.000000,0.0000,NO
