Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,"[1, 4, 5]",0.0392,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73194,90.03,"[1, 4, 5]",0.0140,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73162,90.15,"[1, 4, 5]",0.0154,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73108,90.54,"[1, 4, 5]",0.0153,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73032,91.67,"[1, 4, 5]",0.0154,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.72934,94.90,[],0.0412,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.72826,99.66,"[1, 4, 5]",0.0076,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.72707,106.17,"[1, 4, 5]",0.0074,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72568,116.30,"[1, 4, 5]",0.0118,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72409,130.46,"[2, 4, 5]",0.0173,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.72232,149.05,"[2, 4, 5]",0.0243,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.72037,172.31,"[2, 4, 6]",0.0315,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.71824,159.95,"[2, 4, 6]",0.0398,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.71591,128.72,[],0.0416,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.71349,98.87,"[1, 3, 6]",0.0052,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.71098,77.07,[],0.0416,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.70837,76.31,"[1, 3, 5]",0.0191,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.70567,100.70,[],0.0417,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.70290,139.75,"[2, 4, 5]",0.0364,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.70004,174.67,[],0.0417,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.69709,127.58,[],0.0416,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.69415,88.59,"[1, 3, 6]",0.0161,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.69111,75.18,[],0.0416,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.68798,103.55,[],0.0416,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.68485,151.99,"[2, 4, 5]",0.0287,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.68164,153.07,[],0.0416,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.67838,100.96,[],0.0416,1.3500
1.3950,Traveling to Target (t = 1.4s),,1.67512,74.94,[],0.0417,1.4000
1.4450,Traveling to Target (t = 1.4s),,1.67185,99.82,"[1, 4, 5]",0.0042,1.4500
1.4950,Traveling to Target (t = 1.5s),,1.66849,153.79,[],0.0416,1.5000
1.5450,Traveling to Target (t = 1.5s),,1.66506,144.70,[],0.0416,1.5500
1.5950,Traveling to Target (t = 1.6s),,1.66163,91.66,[],0.0416,1.6000
1.6450,Traveling to Target (t = 1.6s),,1.65820,78.01,"[1, 3, 5]",0.0299,1.6500
1.6950,Traveling to Target (t = 1.7s),,1.65469,120.92,[],0.0417,1.7000
1.7450,Traveling to Target (t = 1.7s),,1.65114,174.45,[],0.0417,1.7500
1.7950,Traveling to Target (t = 1.8s),,1.64758,111.21,[],0.0416,1.8000
1.8450,Traveling to Target (t = 1.8s),,1.64403,75.72,[],0.0416,1.8500
1.8950,Traveling to Target (t = 1.9s),,1.64048,105.35,"[1, 4, 5]",0.0041,1.9000
1.9450,Traveling to Target (t = 1.9s),,1.63685,169.61,[],0.0416,1.9500
1.9950,Traveling to Target (t = 2.0s),,1.63316,121.26,[],0.0416,2.0000
2.0450,Traveling to Target (t = 2.0s),,1.62948,76.87,[],0.0417,2.0500
2.0950,Traveling to Target (t = 2.1s),,1.62579,103.95,[],0.0416,2.1000
2.1450,Traveling to Target (t = 2.1s),,1.62211,170.04,"[2, 4, 6]",0.0352,2.1500
2.1950,Traveling to Target (t = 2.2s),,1.61833,118.87,[],0.0417,2.2000
2.2450,Traveling to Target (t = 2.2s),,1.61447,76.21,[],0.0416,2.2500
2.2950,Traveling to Target (t = 2.3s),,1.61061,114.06,[],0.0416,2.3000
2.3450,Traveling to Target (t = 2.3s),,1.60675,173.26,[],0.0416,2.3500
2.3950,Traveling to Target (t = 2.4s),,1.60290,102.95,[],0.0416,2.4000
2.4450,Traveling to Target (t = 2.4s),,1.59904,78.47,"[1, 3, 5]",0.0168,2.4500
2.4950,Traveling to Target (t = 2.5s),,1.59511,133.26,[],0.0416,2.5000
2.5450,Traveling to Target (t = 2.5s),,1.59116,147.77,[],0.0416,2.5500
2.5950,Traveling to Target (t = 2.6s),,1.58721,83.46,[],0.0416,2.6000
2.6450,Traveling to Target (t = 2.6s),,1.58326,97.02,[],0.0416,2.6500
2.6950,Traveling to Target (t = 2.7s),,1.57931,169.87,[],0.0417,2.7000
2.7450,Traveling to Target (t = 2.7s),,1.57536,113.08,"[2, 3, 6]",0.0333,2.7500
2.7950,Traveling to Target (t = 2.8s),,1.57135,77.35,[],0.0416,2.8000
2.8450,Traveling to Target (t = 2.8s),,1.56733,134.92,[],0.0416,2.8500
2.8950,Traveling to Target (t = 2.9s),,1.56332,141.58,[],0.0417,2.9000
2.9450,Traveling to Target (t = 2.9s),,1.55930,79.11,[],0.0415,2.9500
2.9950,Traveling to Target (t = 3.0s),,1.55529,109.20,[],0.0415,3.0000
3.0450,Traveling to Target (t = 3.0s),,1.55128,169.84,[],0.0416,3.0500
3.0950,Traveling to Target (t = 3.1s),,1.54727,93.75,"[1, 3, 6]",0.0189,3.1000
3.1450,Traveling to Target (t = 3.1s),,1.54317,89.76,[],0.0416,3.1500
3.1950,Traveling to Target (t = 3.2s),,1.53902,168.30,[],0.0416,3.2000
3.2450,Traveling to Target (t = 3.2s),,1.53487,106.67,[],0.0417,3.2500
3.2950,Traveling to Target (t = 3.3s),,1.53073,81.97,[],0.0416,3.3000
3.3450,Traveling to Target (t = 3.3s),,1.52658,153.60,[],0.0416,3.3500
3.3950,Traveling to Target (t = 3.4s),,1.52244,119.31,[],0.0417,3.4000
3.4450,Traveling to Target (t = 3.4s),,1.51830,77.34,[],0.0416,3.4500
3.4950,Traveling to Target (t = 3.5s),,1.51416,139.20,"[2, 4, 5]",0.0207,3.5000
3.5450,Traveling to Target (t = 3.5s),,1.50995,130.78,[],0.0417,3.5500
