Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.41421,0.00,"[1, 3]",0.0108,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.41414,0.00,"[1, 3]",0.0087,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.41391,0.00,"[1, 3]",0.0032,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.41352,0.00,"[1, 3]",0.0029,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.41298,0.00,"[1, 3]",0.0150,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.41229,0.00,"[1, 3]",0.0030,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.41145,0.00,"[1, 3]",0.0032,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.41045,0.00,"[1, 3]",0.0051,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.40930,0.00,"[1, 3]",0.0043,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.40799,0.00,"[1, 3]",0.0044,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.40653,0.00,"[1, 3]",0.0028,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.40492,0.00,"[1, 3]",0.0088,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.40315,0.00,"[1, 3]",0.0038,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.40123,0.00,"[1, 3]",0.0057,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.39916,0.00,"[1, 3]",0.0029,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.39693,0.00,"[1, 3]",0.0053,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.39455,0.00,"[1, 3]",0.0044,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.39201,0.00,"[1, 3]",0.0030,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.38932,0.00,"[1, 3]",0.0090,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.38648,0.00,"[1, 3]",0.0060,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.38348,0.00,"[1, 3]",0.0041,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.38033,0.00,"[1, 3]",0.0047,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.37703,0.00,"[1, 3]",0.0042,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.37357,0.00,"[1, 3]",0.0042,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.36996,0.00,"[1, 3]",0.0043,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.36620,0.00,"[1, 3]",0.0056,1.3000
