Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0276,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.0450,2,0,-0.005276,0.005276,0.029886,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,1000.00,999.94,999.94,-0.00,0.00,90.03,1.00000,0.99994,0.99994,-0.00008,0.00008,1.57124,0.00000,-0.00250,-0.00250,-0.00314,0.00314,0.01777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99994,0.99994,0.00008,-0.00008,-1.57124,-0.00000,0.00250,0.00250,0.00314,-0.00314,-0.01777,0.0000,,,,0.0109,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.0950,2,0,-0.014693,0.014691,0.083217,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,1000.00,999.75,999.75,-0.03,0.03,90.15,1.00000,0.99975,0.99975,-0.00045,0.00045,1.57337,0.00000,-0.00500,-0.00500,-0.01187,0.01187,0.06724,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99975,0.99975,0.00045,-0.00045,-1.57337,-0.00000,0.00500,0.00500,0.01187,-0.01187,-0.06724,0.0000,,,,0.0109,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.1450,2,0,-0.040920,0.040903,0.231728,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,1000.00,999.44,999.44,-0.09,0.10,90.54,1.00000,0.99944,0.99944,-0.00165,0.00166,1.58017,0.00002,-0.00750,-0.00750,-0.03620,0.03619,0.20501,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99944,0.99944,0.00165,-0.00166,-1.58017,-0.00002,0.00750,0.00750,0.03620,-0.03619,-0.20501,0.0000,,,,0.0110,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.1950,2,0,-0.113966,0.113886,0.645289,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,1000.00,999.00,999.00,-0.29,0.30,91.67,1.00000,0.99900,0.99900,-0.00508,0.00523,1.60000,0.00007,-0.01001,-0.00999,-0.10396,0.10390,0.58866,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.99900,0.99900,0.00508,-0.00523,-1.60000,-0.00007,0.01001,0.00999,0.10396,-0.10390,-0.58866,0.0000,,,,0.0107,,,,,,"[0.998, 0.000, 0.000, 0.000, 0.998, 0.000]",0x100010,0.2450,2,0,-0.317413,0.317085,1.796935,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,1000.01,998.44,998.44,-0.83,0.90,94.88,1.00001,0.99844,0.99844,-0.01442,0.01569,1.65605,0.00022,-0.01253,-0.01247,-0.29267,0.29241,1.65699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00001,0.99844,0.99844,0.01442,-0.01569,-1.65605,-0.00022,0.01253,0.01247,0.29267,-0.29241,-1.65699,0.0000,,,,0.0412,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.2950,0,2,0.000000,0.000000,0.000000,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,1000.02,997.81,997.82,-1.55,1.84,99.61,1.00002,0.99781,0.99782,-0.02709,0.03204,1.73860,0.00022,-0.01253,-0.01247,-0.29267,0.29241,1.65699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00002,0.99781,0.99782,0.02709,-0.03204,-1.73860,-0.00022,0.01253,0.01247,0.29267,-0.29241,-1.65699,0.0000,,,,0.0084,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.3450,2,2,-0.884497,0.882842,1.999671,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,1000.05,997.12,997.13,-2.84,3.67,106.01,1.00005,0.99712,0.99713,-0.04961,0.06403,1.85014,0.00085,-0.01505,-0.01485,-0.81722,0.81860,2.84585,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00005,0.99712,0.99713,0.04961,-0.06403,-1.85014,-0.00085,0.01505,0.01485,0.81722,-0.81860,-2.84585,0.0000,,,,0.0084,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.3950,2,0,-2.000000,2.000000,2.000000,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,1000.11,996.30,996.33,-5.91,8.45,115.57,1.00011,0.99630,0.99633,-0.10308,0.14743,2.01715,0.00196,-0.01755,-0.01710,-2.00023,2.01366,4.03492,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00011,0.99630,0.99633,0.10308,-0.14743,-2.01715,-0.00196,0.01755,0.01710,2.00023,-2.01366,-4.03492,0.0000,,,,0.0195,,,,,,"[1.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x100010,0.4450,2,0,-2.000000,2.000000,2.000000,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,1000.25,995.37,995.43,-10.58,17.75,127.93,1.00025,0.99537,0.99543,-0.18471,0.30987,2.23283,0.00377,-0.01991,-0.01898,-3.18324,3.20873,5.22398,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00025,0.99537,0.99543,0.18471,-0.30987,-2.23283,-0.00377,0.01991,0.01898,3.18324,-3.20873,-5.22398,0.0000,,,,0.0195,,,,,,"[0.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x000010,0.4950,1,1,-2.000000,2.000000,2.000000,0.0000,NO
10,0.5450,0.5450,0.0500,0.050,APPROACHING,0,1000.47,994.36,994.42,-15.04,32.13,143.14,1.00047,0.99436,0.99442,-0.26251,0.56071,2.49830,0.00486,-0.02021,-0.02121,-4.36626,4.40381,6.41302,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00047,0.99436,0.99442,0.26251,-0.56071,-2.49830,-0.00486,0.02021,0.02121,4.36626,-4.40381,-6.41302,0.0000,,,,0.0264,,,,,,"[0.000, 0.000, 0.000, 0.000, 1.000, 0.000]",0x000010,0.5450,1,0,-2.000000,2.000000,2.000000,0.0000,NO
11,0.5950,0.5950,0.0500,0.050,APPROACHING,0,1000.75,993.35,993.31,-15.32,51.40,164.00,1.00075,0.99335,0.99331,-0.26744,0.89702,2.86226,0.00654,-0.02032,-0.02303,-5.54929,5.59889,7.60205,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00075,0.99335,0.99331,0.26744,-0.89702,-2.86226,-0.00654,0.02032,0.02303,5.54929,-5.59889,-7.60205,0.0000,,,,0.0364,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.5950,0,1,-2.000000,2.000000,2.000000,0.0000,NO
