Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,"[1, 5]",0.0276,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73198,90.03,"[1, 5]",0.0110,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73176,90.15,"[1, 5]",0.0109,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73140,90.54,"[1, 5]",0.0110,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73090,91.67,"[1, 5]",0.0107,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.73025,94.90,[],0.0413,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.72954,99.66,"[1, 5]",0.0084,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.72876,106.17,"[1, 5]",0.0084,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72787,116.30,"[1, 5]",0.0196,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72689,130.46,[5],0.0196,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.72585,149.05,[5],0.0264,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.72479,172.31,[],0.0364,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.72374,159.95,[],0.0417,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.72268,130.82,[3],0.0032,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.72160,102.27,[],0.0416,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.72048,79.51,"[1, 3]",0.0096,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.71928,73.40,[],0.0416,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.71799,91.46,"[1, 5]",0.0264,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.71664,126.08,[],0.0416,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.71522,168.72,[],0.0409,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.71381,147.62,[],0.0041,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.71239,105.32,[],0.0417,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.71098,76.16,[],0.0416,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.70957,82.47,"[1, 5]",0.0242,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.70808,120.55,[],0.0417,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.70652,171.82,[],0.0416,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.70496,135.76,[3],0.0379,1.3500
1.3950,Traveling to Target (t = 1.4s),,1.70337,89.49,[],0.0416,1.4000
1.4450,Traveling to Target (t = 1.4s),,1.70175,76.10,[],0.0416,1.4500
1.4950,Traveling to Target (t = 1.5s),,1.70013,111.88,[],0.0417,1.5000
1.5450,Traveling to Target (t = 1.5s),,1.69851,166.67,[],0.0139,1.5500
1.5950,Traveling to Target (t = 1.6s),,1.69689,134.07,[],0.0416,1.6000
1.6450,Traveling to Target (t = 1.6s),,1.69527,84.43,[],0.0416,1.6500
1.6950,Traveling to Target (t = 1.7s),,1.69365,81.42,[],0.0416,1.7000
1.7450,Traveling to Target (t = 1.7s),,1.69204,128.47,[],0.0416,1.7500
1.7950,Traveling to Target (t = 1.8s),,1.69042,170.34,[],0.0042,1.8000
1.8450,Traveling to Target (t = 1.8s),,1.68881,109.25,[],0.0416,1.8500
1.8950,Traveling to Target (t = 1.9s),,1.68719,74.75,[],0.0416,1.9000
1.9450,Traveling to Target (t = 1.9s),,1.68558,106.28,[],0.0417,1.9500
1.9950,Traveling to Target (t = 2.0s),,1.68397,169.07,[],0.0416,2.0000
2.0450,Traveling to Target (t = 2.0s),,1.68236,125.40,[3],0.0235,2.0500
2.0950,Traveling to Target (t = 2.1s),,1.68071,77.52,[],0.0417,2.1000
2.1450,Traveling to Target (t = 2.1s),,1.67902,97.43,[],0.0416,2.1500
2.1950,Traveling to Target (t = 2.2s),,1.67733,162.49,[],0.0416,2.2000
2.2450,Traveling to Target (t = 2.2s),,1.67564,127.18,[],0.0416,2.2500
2.2950,Traveling to Target (t = 2.3s),,1.67396,77.39,[],0.0416,2.3000
2.3450,Traveling to Target (t = 2.3s),,1.67227,97.76,"[1, 5]",0.0042,2.3500
2.3950,Traveling to Target (t = 2.4s),,1.67054,165.17,[],0.0417,2.4000
2.4450,Traveling to Target (t = 2.4s),,1.66879,120.60,[],0.0416,2.4500
2.4950,Traveling to Target (t = 2.5s),,1.66705,75.26,[],0.0416,2.5000
2.5450,Traveling to Target (t = 2.5s),,1.66531,111.33,[],0.0416,2.5500
2.5950,Traveling to Target (t = 2.6s),,1.66357,175.72,[],0.0416,2.6000
2.6450,Traveling to Target (t = 2.6s),,1.66184,104.24,"[1, 3]",0.0351,2.6500
2.6950,Traveling to Target (t = 2.7s),,1.66003,77.30,[],0.0416,2.7000
2.7450,Traveling to Target (t = 2.7s),,1.65815,134.93,[],0.0416,2.7500
2.7950,Traveling to Target (t = 2.8s),,1.65626,145.30,[],0.0416,2.8000
2.8450,Traveling to Target (t = 2.8s),,1.65438,81.27,[],0.0416,2.8500
