Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,"[1, 4, 5]",0.0188,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73194,89.57,"[1, 4, 5]",0.0061,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73162,88.30,"[1, 4, 5]",0.0031,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73108,86.61,"[1, 4, 5]",0.0030,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73032,84.95,"[1, 4, 5]",0.0031,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.72935,83.31,"[1, 4, 5]",0.0091,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.72816,81.70,"[1, 4, 5]",0.0043,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.72676,80.12,"[1, 4, 5]",0.0041,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72514,78.57,"[1, 4, 5]",0.0021,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72331,77.04,"[1, 4, 5]",0.0030,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.72127,75.55,"[1, 4, 5]",0.0021,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.71902,74.08,"[1, 4, 5]",0.0021,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.71657,72.64,"[1, 4, 5]",0.0020,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.71390,71.23,"[1, 4, 5]",0.0030,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.71103,69.85,"[1, 4, 5]",0.0020,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.70796,68.49,"[1, 4, 5]",0.0043,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.70468,67.15,"[1, 4, 5]",0.0021,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.70121,65.85,"[1, 4, 5]",0.0021,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.69753,64.57,"[1, 4, 5]",0.0029,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.69366,63.31,"[1, 4, 5]",0.0033,1.0000
