Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0188,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.0450,3,0,0.323761,-0.323761,-0.500000,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,999.94,999.94,999.94,0.28,-0.27,89.57,0.99994,0.99994,0.99994,0.00483,-0.00479,1.56335,-0.00251,-0.00249,-0.00250,0.19249,-0.19249,-0.29727,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99994,0.99994,0.99994,-0.00483,0.00479,-1.56335,0.00251,0.00249,0.00250,-0.19249,0.19249,0.29727,0.0000,,,,0.0061,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.0950,3,0,-0.273449,0.264431,-0.499937,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,999.75,999.75,999.75,0.61,-0.59,88.29,0.99975,0.99975,0.99975,0.01057,-0.01030,1.54102,-0.00507,-0.00493,-0.00500,0.02965,-0.03554,-0.59449,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99975,0.99975,0.99975,-0.01057,0.01030,-1.54102,0.00507,0.00493,0.00500,-0.02965,0.03554,0.59449,0.0000,,,,0.0031,,,,,,"[0.999, 0.001, 0.001, 0.999, 0.999, 0.001]",0x100110,0.1450,3,0,0.213590,-0.215131,0.010912,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,999.43,999.45,999.44,0.89,-0.85,86.60,0.99943,0.99945,0.99944,0.01559,-0.01490,1.51139,-0.00770,-0.00729,-0.00750,0.15683,-0.16325,-0.58800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99943,0.99945,0.99944,-0.01559,0.01490,-1.51139,0.00770,0.00729,0.00750,-0.15683,0.16325,0.58800,0.0000,,,,0.0030,,,,,,"[0.999, 0.001, 0.001, 0.999, 0.999, 0.001]",0x100110,0.1950,3,0,-0.184046,0.175294,0.019460,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,998.98,999.02,999.00,1.22,-1.14,84.92,0.99898,0.99902,0.99900,0.02122,-0.01991,1.48218,-0.01042,-0.00955,-0.00999,0.04726,-0.05919,-0.57643,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99898,0.99902,0.99900,-0.02122,0.01991,-1.48218,0.01042,0.00955,0.00999,-0.04726,0.05919,0.57643,0.0000,,,,0.0031,,,,,,"[0.999, 0.001, 0.001, 0.999, 0.999, 0.001]",0x100110,0.2450,3,0,0.140804,-0.142402,0.012449,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,998.39,998.49,998.44,1.51,-1.39,83.27,0.99839,0.99849,0.99844,0.02630,-0.02431,1.45342,-0.01321,-0.01173,-0.01249,0.13109,-0.14373,-0.56903,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99839,0.99849,0.99844,-0.02630,0.02431,-1.45342,0.01321,0.01173,0.01249,-0.13109,0.14373,0.56903,0.0000,,,,0.0091,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.2950,3,0,-0.126320,0.129034,0.005031,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,997.65,997.85,997.75,1.82,-1.65,81.64,0.99765,0.99785,0.99775,0.03174,-0.02875,1.42489,-0.01608,-0.01381,-0.01498,0.05589,-0.06712,-0.56604,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99765,0.99785,0.99775,-0.03174,0.02875,-1.42489,0.01608,0.01381,0.01498,-0.05589,0.06712,0.56604,0.0000,,,,0.0043,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.3450,3,0,0.094364,-0.114276,0.036255,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,996.78,997.11,996.94,2.11,-1.88,80.04,0.99678,0.99711,0.99694,0.03679,-0.03286,1.39696,-0.01901,-0.01580,-0.01747,0.11209,-0.13498,-0.54448,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99678,0.99711,0.99694,-0.03679,0.03286,-1.39696,0.01901,0.01580,0.01747,-0.11209,0.13498,0.54448,0.0000,,,,0.0041,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.3950,3,0,-0.084098,0.090820,-0.000363,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,995.75,996.28,996.00,2.41,-2.13,78.47,0.99575,0.99628,0.99600,0.04211,-0.03717,1.36952,-0.02201,-0.01769,-0.01996,0.06202,-0.08105,-0.54470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99575,0.99628,0.99600,-0.04211,0.03717,-1.36952,0.02201,0.01769,0.01996,-0.06202,0.08105,0.54470,0.0000,,,,0.0021,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.4450,3,0,0.056581,-0.069322,0.027538,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,994.57,995.35,994.94,2.70,-2.35,76.92,0.99457,0.99535,0.99494,0.04711,-0.04106,1.34247,-0.02507,-0.01949,-0.02244,0.09571,-0.12222,-0.52833,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99457,0.99535,0.99494,-0.04711,0.04106,-1.34247,0.02507,0.01949,0.02244,-0.09571,0.12222,0.52833,0.0000,,,,0.0030,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.4950,3,0,-0.050006,0.052052,0.006276,0.0000,NO
