Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,"[1, 4, 5]",0.0172,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73195,89.91,"[1, 4, 5]",0.0096,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73166,89.66,"[1, 4, 5]",0.0086,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73118,89.24,"[1, 4, 5]",0.0063,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73049,88.65,"[1, 4, 5]",0.0052,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.72962,87.89,"[1, 4, 5]",0.0043,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.72855,86.96,"[1, 4, 5]",0.0032,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.72728,85.86,"[1, 4, 5]",0.0032,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72583,84.59,"[1, 4, 5]",0.0092,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72417,83.16,"[1, 4, 5]",0.0056,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.72233,81.59,"[1, 4, 5]",0.0021,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.72029,79.99,"[1, 4, 5]",0.0021,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.71806,78.43,"[1, 4, 5]",0.0042,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.71564,76.92,"[1, 4, 5]",0.0022,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.71304,75.43,"[1, 4, 5]",0.0021,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.71024,73.98,"[1, 4, 5]",0.0021,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.70725,72.54,"[1, 4, 5]",0.0041,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.70409,71.14,"[1, 4, 5]",0.0032,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.70073,69.76,"[1, 4, 5]",0.0021,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.69720,68.41,"[1, 4, 5]",0.0021,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.69348,67.08,"[1, 4, 5]",0.0021,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.68959,65.78,"[1, 4, 5]",0.0051,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.68551,64.51,"[1, 4, 5]",0.0021,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.68126,63.26,"[1, 4, 5]",0.0032,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.67684,62.04,"[1, 4, 5]",0.0021,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.67225,60.84,"[1, 4, 5]",0.0022,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.66749,59.66,"[1, 4, 5]",0.0075,1.3500
1.3950,Traveling to Target (t = 1.4s),,1.66256,58.51,"[1, 4, 5]",0.0042,1.4000
1.4450,Traveling to Target (t = 1.4s),,1.65746,57.39,"[1, 4, 5]",0.0021,1.4500
