Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0450,0.0450,0.0500,0.050,APPROACHING,0,1000.00,1000.00,1000.00,0.00,0.00,90.00,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0120,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.0450,3,0,-0.324920,0.324920,1.840389,0.0000,NO
1,0.0950,0.0950,0.0500,0.050,APPROACHING,0,999.94,999.94,999.94,-0.27,0.28,91.57,0.99994,0.99994,0.99994,-0.00476,0.00489,1.59814,-0.00248,-0.00252,-0.00250,-0.19317,0.19317,1.09417,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99994,0.99994,0.99994,0.00476,-0.00489,-1.59814,0.00248,0.00252,0.00250,0.19317,-0.19317,-1.09417,0.0000,,,,0.0389,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.0950,3,0,-0.926359,0.917277,2.000000,0.0000,NO
2,0.1450,0.1450,0.0500,0.050,APPROACHING,0,999.76,999.75,999.75,-1.54,1.69,96.38,0.99976,0.99975,0.99975,-0.02681,0.02948,1.68220,-0.00479,-0.00520,-0.00500,-0.74300,0.73945,2.28323,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99976,0.99975,0.99975,0.02681,-0.02948,-1.68220,0.00479,0.00520,0.00500,0.74300,-0.73945,-2.28323,0.0000,,,,0.0108,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.1450,3,0,-2.000000,2.000000,2.000000,0.0000,NO
3,0.1950,0.1950,0.0500,0.050,APPROACHING,0,999.47,999.41,999.44,-4.85,5.96,104.42,0.99947,0.99941,0.99944,-0.08473,0.10394,1.82241,-0.00668,-0.00820,-0.00747,-1.92746,1.93308,3.47230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99947,0.99941,0.99944,0.08473,-0.10394,-1.82241,0.00668,0.00820,0.00747,1.92746,-1.93308,-3.47230,0.0000,,,,0.0082,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.1950,3,0,-1.999346,1.999180,2.000000,0.0000,NO
4,0.2450,0.2450,0.0500,0.050,APPROACHING,0,999.10,998.92,999.01,-10.19,14.66,115.18,0.99910,0.99892,0.99901,-0.17789,0.25593,2.01023,-0.00776,-0.01167,-0.00981,-3.11154,3.12622,4.66137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99910,0.99892,0.99901,0.17789,-0.25593,-2.01023,0.00776,0.01167,0.00981,3.11154,-3.12622,-4.66137,0.0000,,,,0.0082,,,,,,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",0x100110,0.2450,3,0,-1.997868,1.999563,1.997081,0.0000,NO
5,0.2950,0.2950,0.0500,0.050,APPROACHING,0,998.71,998.24,998.46,-16.04,28.49,128.30,0.99871,0.99824,0.99846,-0.27989,0.49725,2.23926,-0.00764,-0.01552,-0.01173,-4.29472,4.31959,5.84871,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99871,0.99824,0.99846,0.27989,-0.49725,-2.23926,0.00764,0.01552,0.01173,4.29472,-4.31959,-5.84871,0.0000,,,,0.0072,,,,,,"[0.000, 1.000, 0.000, 1.000, 1.000, 0.000]",0x010110,0.2950,3,2,-1.993339,1.993439,2.000000,0.0000,NO
6,0.3450,0.3450,0.0500,0.050,APPROACHING,0,998.29,997.44,997.78,-19.74,47.65,145.03,0.99829,0.99744,0.99778,-0.34449,0.83170,2.53129,-0.00882,-0.01654,-0.01573,-5.47529,5.50927,7.03776,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99829,0.99744,0.99778,0.34449,-0.83170,-2.53129,0.00882,0.01654,0.01573,5.47529,-5.50927,-7.03776,0.0000,,,,0.0125,,,,,,"[0.000, 1.000, 0.000, 1.000, 0.000, 1.000]",0x010101,0.3450,3,2,-1.986807,1.988675,2.000000,0.0000,NO
7,0.3950,0.3950,0.0500,0.050,APPROACHING,0,997.75,996.58,996.96,-8.23,70.68,178.20,0.99775,0.99658,0.99696,-0.14364,1.23363,3.11019,-0.01250,-0.01834,-0.01699,-6.65203,6.69605,8.22681,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99775,0.99658,0.99696,0.14364,-1.23363,-3.11019,0.01250,0.01834,0.01699,6.65203,-6.69605,-8.22681,0.0000,,,,0.0413,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.3950,0,3,0.000000,0.000000,0.000000,0.0000,NO
8,0.4450,0.4450,0.0500,0.050,APPROACHING,0,997.13,995.66,996.11,82.04,72.78,-69.26,0.99713,0.99566,0.99611,1.43186,1.27032,-1.20886,-0.01250,-0.01834,-0.01699,-6.65203,6.69605,8.22681,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99713,0.99566,0.99611,-1.43186,-1.27032,1.20886,0.01250,0.01834,0.01699,6.65203,-6.69605,-8.22681,0.0000,,,,0.0114,,,,,,"[0.000, 1.000, 0.000, 1.000, 0.000, 1.000]",0x010101,0.4450,3,3,-2.000000,1.998511,1.984870,0.0000,NO
9,0.4950,0.4950,0.0500,0.050,APPROACHING,0,996.50,994.64,995.23,97.60,46.13,-27.93,0.99650,0.99464,0.99523,1.70348,0.80514,-0.48754,-0.01221,-0.02244,-0.01808,-7.83635,7.88900,9.40683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99650,0.99464,0.99523,-1.70348,-0.80514,0.48754,0.01221,0.02244,0.01808,7.83635,-7.88900,-9.40683,0.0000,,,,0.0415,,,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x000000,0.4950,0,3,0.000000,0.000000,0.000000,0.0000,NO
