Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,[],0.0424,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73205,90.00,[],0.0421,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73205,90.00,[],0.0423,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73205,90.00,[],0.0422,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73205,90.00,[],0.0421,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.73205,90.00,[],0.0421,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.73205,90.00,[],0.0421,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.73205,90.00,"[1, 5]",0.0128,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.73198,89.95,[],0.0421,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.73183,89.86,[],0.0421,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.73169,89.77,"[1, 5]",0.0341,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.73147,89.71,[],0.0426,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.73118,89.69,[],0.0421,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.73090,89.67,"[1, 5]",0.0366,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.73053,89.62,[],0.0420,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.73010,89.54,[],0.0422,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.72967,89.47,[],0.0422,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.72923,89.39,"[1, 5]",0.0238,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.72873,89.34,[],0.0421,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.72815,89.30,[],0.0420,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.72757,89.27,[],0.0421,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.72699,89.24,"[1, 5]",0.0267,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.72634,89.19,[],0.0420,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.72562,89.12,[],0.0420,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.72489,89.06,[],0.0420,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.72417,88.99,"[1, 5]",0.0256,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.72337,88.93,[],0.0421,1.3500
1.3950,Traveling to Target (t = 1.4s),,1.72251,88.90,[],0.0421,1.4000
1.4450,Traveling to Target (t = 1.4s),,1.72164,88.86,[],0.0421,1.4500
